shapes,block,div,stim_file_pos,noise_pos,ShapeDiv_combo,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19
input_data/stims/Shape_0.10_2.00.png,1,2,0.1,2.0,3.0,-18.188425,-11.823004,-6.4707503,1.249769,-3.7404559,-0.40494648,0.24036422,1.4213316,1.0799432,0.3846706,-0.46683803,-0.29019102,0.71120906,0.37609604,0.31613243,0.46620235,-0.3151245,0.06233378,0.41075072,-3.55873e-05
input_data/stims/Shape_0.10_2.00.png,1,2,0.1,2.0,3.0,-18.188416,-11.8230095,-6.4707503,1.2497672,-3.7404563,-0.4049454,0.24036393,1.4213319,1.079943,0.3846699,-0.4668386,-0.2901911,0.71120924,0.37609687,0.31613213,0.4662017,-0.31512368,0.062333614,0.41075066,-3.558728e-05
input_data/stims/Shape_0.30_2.00.png,1,2,0.3,2.0,3.0,-19.039944,-9.294906,-1.5827491,1.0601459,-0.33359495,1.5651858,0.51153916,-1.0110716,-1.1297926,-0.4409927,0.7533664,-0.3718782,-0.92374426,-0.50800323,-0.9861377,-0.92236936,0.7533977,-0.017172951,-0.6173447,-3.5586123e-05
input_data/stims/Shape_0.30_2.00.png,1,2,0.3,2.0,3.0,-19.039944,-9.294906,-1.5827487,1.060143,-0.33359414,1.5651865,0.5115388,-1.0110717,-1.1297923,-0.44099286,0.75336576,-0.37187755,-0.92374355,-0.5080039,-0.9861382,-0.92236936,0.7533976,-0.017172104,-0.6173451,-3.5586138e-05
input_data/stims/Shape_0.50_2.00.png,1,2,0.5,2.0,3.0,-17.79155,-4.115098,2.448459,1.7192742,2.5225577,-0.13033073,-0.66411406,-2.390551,-0.71952945,-0.6779495,0.17458999,1.2434338,-0.5704214,-0.04737334,0.84756845,1.3036058,-0.17627992,0.12763743,0.3168774,-3.558739e-05
input_data/stims/Shape_0.50_2.00.png,1,2,0.5,2.0,3.0,-17.79155,-4.115098,2.448459,1.7192742,2.522557,-0.13033044,-0.6641139,-2.3905513,-0.71952933,-0.67794937,0.1745905,1.2434329,-0.5704215,-0.047374263,0.84756804,1.3036057,-0.1762796,0.12763724,0.31687754,-3.5587414e-05
input_data/stims/Shape_0.70_2.00.png,1,2,0.7,2.0,3.0,-15.006857,-2.6864715,3.9785264,0.059784252,3.0969343,-2.1563022,-1.2410616,0.46510908,-0.13859624,0.84610784,-0.30295178,0.27465844,1.4466972,-0.39483076,-0.26719242,-1.2104472,-0.76810265,-0.30642256,0.13849443,-3.5586756e-05
input_data/stims/Shape_0.70_2.00.png,1,2,0.7,2.0,3.0,-15.006857,-2.6864715,3.9785264,0.059784252,3.0969343,-2.156302,-1.2410624,0.46510908,-0.1385954,0.8461084,-0.3029518,0.27465907,1.4466966,-0.39483047,-0.26719275,-1.2104479,-0.7681031,-0.30642256,0.13849433,-3.5586792e-05
input_data/stims/Shape_0.90_2.00.png,1,2,0.9,2.0,3.0,-13.753592,1.6907225,4.023212,-2.2138047,2.8214707,1.1896265,0.37382212,1.4082413,1.1514772,0.67044544,-1.3328178,-1.499148,-1.2290701,1.0142846,0.053533267,0.2950096,0.14817242,0.19095662,-0.22809845,-3.5587014e-05
input_data/stims/Shape_0.90_2.00.png,1,2,0.9,2.0,3.0,-13.753592,1.6907225,4.023212,-2.2138047,2.8214707,1.1896265,0.37382212,1.4082413,1.1514778,0.6704453,-1.3328185,-1.4991481,-1.2290695,1.0142845,0.05353317,0.29500943,0.14817263,0.19095646,-0.22809835,-3.5587076e-05
