blockN,stimVal,thisN,thisTrialN,thisRepN,run,condition,trial_key,stim_file_pos,stim_pos,noise_pos,anchor,shape,shape_order,div_pos,target_pos,subj_C0F1_val,subj_C1F0_val,target_file,img1_file,img2_file,block_start_resp.keys,block_start_resp.rt,block_start_resp.duration,slider.response,slider.rt,slider_resp.keys,slider_resp.rt,slider_resp.duration,submit_resp.keys,submit_resp.rt,submit_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,new_block.started,block_start_text.started,block_start_resp.started,new_block.stopped,blocks.block_start_resp.keys,blocks.block_start_resp.rt,blocks.block_start_resp.duration,baseline.started,ISI1.started,baseline.stopped,stim.started,target_stim.started,target_stim.stopped,stim.stopped,delay.started,ISI2.started,delay.stopped,task.started,img1.started,img2.started,divider_line.started,slider_line.started,slider.started,slider_resp.started,submit_resp.started,task.stopped,positions,trials.slider.response,trials.slider.rt,trials.slider_resp.keys,trials.slider_resp.rt,trials.slider_resp.duration,trials.submit_resp.keys,trials.submit_resp.rt,trials.submit_resp.duration,feedback.started,no_resp_text.started,Mcoin.started,no_resp_text.stopped,Mcoin.stopped,feedback.stopped,valence,correct,outcome,subj,sess_type,date,expName,psychopyVersion,frameRate,expStart,
1,subj_C0F1_val,0,0,0,1,baseline,8,0.9,-0.22,0,-0.057293657,curv,curv_flat,0.0,-0.22,pen,rew,input_data/stims/Shape_0.90_0.00.png,input_data/stims/Shape_0.00_0.00.png,input_data/stims/Shape_4.00_0.00.png,up,1.753270999994129,None,None,None,['left'],[0.7419251240207814],[0.14391079198685475],up,1.133841166010825,None,0,0,0,0,0,0,0,8,2.09829841600731,,0.14078383301966824,0.28199866600334644,0.28199866600334644,2.0422223750210833,up,1.753270999994129,None,2.07974345801631,0.03749337501358241,3.063839333015494,3.0638769160141237,3.103609375015367,3.7715464160137344,3.7580212080210913,3.758059833024163,4.429198452271521e-05,5.2416880410164595,5.243101458007004,5.325463458022568,5.325463458022568,5.325463458022568,5.325463458022568,5.325463458022568,5.325463458022568,5.325463458022568,6.475289458001498,"[-0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.057, -0.067, -0.077, -0.087, -0.097, -0.107, -0.117, -0.127, -0.137, -0.147, -0.157, -0.167, -0.177, -0.177, -0.177, -0.177, -0.177, -0.177, -0.177, -0.177, -0.177, -0.177, -0.177, -0.177, -0.177, -0.177, -0.177, -0.177, -0.177, -0.177, -0.177, -0.177, -0.177, -0.177, -0.177, -0.177, -0.177]",None,None,['left'],[0.7419251240207814],[0.14391079198685475],up,1.133841166010825,None,6.4755970830156,6.482635916006984,6.482635916006984,7.154091666016029,7.154091666016029,7.148700416000793,pen,1,1,,A,2025-03-10_20h08.25.909,asymmetry_v13,2024.2.4,60,2025-03-10 20h08.36.688424 -0400,
1,,1,1,0,1,baseline,37,3.7,0.34,4,-0.213717562,flat,flat_curv,0.0,-0.34,rew,pen,input_data/stims/Shape_3.70_4.00.png,input_data/stims/Shape_4.00_4.00.png,input_data/stims/Shape_0.00_4.00.png,,,,,,,,,,,,,,,,0,1,1,37,7.154091666016029,,,,,,,,,7.149064541008556,0.0003571659908629954,8.132625541009475,8.132664750010008,8.16477912501432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
