blockN,stimVal,thisN,thisTrialN,thisRepN,run,div,trial_key,stim_file_pos,stim_pos,noise_pos,val_C0F1,val_C1F0,valence_disp,target_pos,target_file,disp_div,anchor,img1_file,img2_file,block_start_resp.keys,block_start_resp.rt,block_start_resp.duration,slider.response,slider.rt,slider_resp.keys,slider_resp.rt,slider_resp.duration,submit_resp.keys,submit_resp.rt,submit_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,new_block.started,block_start_text.started,block_start_resp.started,new_block.stopped,blocks.block_start_resp.keys,blocks.block_start_resp.rt,blocks.block_start_resp.duration,ITI1.started,text_3.started,ITI1.stopped,stim.started,target_stim.started,stim.stopped,delay.started,text.started,text.stopped,delay.stopped,task.started,img1.started,img2.started,divider_line.started,slider_line.started,slider.started,slider_resp.started,submit_resp.started,task.stopped,positions,trials.slider.response,trials.slider.rt,trials.slider_resp.keys,trials.slider_resp.rt,trials.slider_resp.duration,trials.submit_resp.keys,trials.submit_resp.rt,trials.submit_resp.duration,feedback.started,no_resp_text.started,Mcoin.started,Mcross.started,feedback.stopped,correct,outcome,text_3.stopped,subj,sess_type,date,expName,psychopyVersion,frameRate,expStart,
1,val_C1F0,0,0,0,1,0.0,19,1.9,-0.02,0.0,pen,rew,rew_pen,0.02,input_data/stims/Shape_1.90_0.00.png,0.0,0.2384308757182908,input_data/stims/Shape_4.00_0.00.png,input_data/stims/Shape_0.00_0.00.png,return,0.5785947919939645,None,None,None,['left'],[0.5276636250200681],[0.35911970798042603],return,1.2731081670208368,None,0,0,0,0,0,0,0,19,0.8039996669976972,,0.03582658400409855,0.16729712497908622,0.16729712497908622,0.7578237499983516,return,0.5785947919939645,None,0.792817167006433,0.8039996669976972,1.7570554589910898,2.348324041988235,2.3871227499912493,2.755937209003605,2.755960916983895,2.7598923750047106,4.938865292002447,4.257540124992374,4.859618458984187,4.938865292002447,4.938865292002447,4.938865292002447,4.938865292002447,4.938865292002447,4.938865292002447,4.938865292002447,6.223715542000718,"[0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.238, 0.228, 0.218, 0.208, 0.198, 0.188, 0.178, 0.168, 0.158, 0.148, 0.138, 0.128, 0.118, 0.108, 0.098, 0.088, 0.078, 0.068, 0.058, 0.048, 0.038, 0.028, 0.018, 0.008, -0.002, -0.012, -0.022, -0.032, -0.042, -0.052, -0.062, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072, -0.072]",None,None,['left'],[0.5276636250200681],[0.35911970798042603],return,1.2731081670208368,None,6.242166749987518,6.2485994169837795,6.2485994169837795,6.2485994169837795,7.222967958980007,-1,-1,,,D,2025-03-04_20h39.38.436,asymmetry_v10,2024.2.4,None,2025-03-04 20h39.46.231936 -0500,
1,val_C1F0,1,1,0,1,0.0,1,0.1,-0.38,0.0,pen,rew,rew_pen,0.38,input_data/stims/Shape_0.10_0.00.png,0.0,0.3262774756336205,input_data/stims/Shape_4.00_0.00.png,input_data/stims/Shape_0.00_0.00.png,return,0.5785947919939645,None,None,None,None,,,None,,,0,0,0,0,0,1,1,1,7.226992084004451,,,,,,,,,7.223219292005524,7.226992084004451,8.222926249989541,8.68664479200379,8.720077292004135,9.208675166999456,9.208701124996878,9.219838749995688,11.214627249981277,10.705896792002022,11.165639999991981,11.214627249981277,11.214627249981277,11.214627249981277,11.214627249981277,11.214627249981277,11.214627249981277,11.214627249981277,13.731868500006385,"[0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326, 0.326]",None,None,None,,,None,,,13.759776791994227,13.762651833996642,,,14.723110333987279,0,0,8.720077292004135,,D,2025-03-04_20h39.38.436,asymmetry_v10,2024.2.4,None,2025-03-04 20h39.46.231936 -0500,
1,,2,2,0,1,0.0,31,3.1,0.22,4.0,rew,pen,rew_pen,-0.22,input_data/stims/Shape_3.10_4.00.png,0.0,0.2131260966283729,input_data/stims/Shape_4.00_4.00.png,input_data/stims/Shape_0.00_4.00.png,,,,,,,,,,,,,,,,0,2,2,31,14.726996374985902,,,,,,,,,14.72333616699325,14.726996374985902,15.722752750007203,16.138344916980714,16.16133508400526,16.724298083980102,16.72433045899379,16.728103750006994,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.16133508400526,,,,,,,,
