blockN,stimVal,thisN,thisTrialN,thisRepN,run,div,trial_key,stim_file_pos,stim_pos,noise_pos,val_C0F1,val_C1F0,valence_disp,target_pos,target_file,disp_div,anchor,img1_file,img2_file,block_start_resp.keys,block_start_resp.rt,block_start_resp.duration,slider.response,slider.rt,slider_resp.keys,slider_resp.rt,slider_resp.duration,submit_resp.keys,submit_resp.rt,submit_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,new_block.started,block_start_text.started,block_start_resp.started,new_block.stopped,blocks.block_start_resp.keys,blocks.block_start_resp.rt,blocks.block_start_resp.duration,ITI0.started,ISI.started,ITI0.stopped,stim.started,target_stim.started,stim.stopped,delay.started,text.started,text.stopped,delay.stopped,task.started,img1.started,img2.started,divider_line.started,slider_line.started,slider.started,slider_resp.started,submit_resp.started,task.stopped,positions,trials.slider.response,trials.slider.rt,trials.slider_resp.keys,trials.slider_resp.rt,trials.slider_resp.duration,trials.submit_resp.keys,trials.submit_resp.rt,trials.submit_resp.duration,feedback.started,no_resp_text.started,Mcoin.started,Mcross.started,feedback.stopped,correct,outcome,Lcoin.started,Rcoin.started,Lcross.started,Rcross.started,subj,sess_type,date,expName,psychopyVersion,frameRate,expStart,
1,val_C1F0,0,0,0,1,0.0,2,0.3,-0.34,0.0,pen,rew,pen_rew,-0.34,input_data/stims/Shape_0.30_0.00.png,0.0,-0.3109277528268858,input_data/stims/Shape_0.00_0.00.png,input_data/stims/Shape_4.00_0.00.png,return,0.552844207995804,None,None,None,"['left', 'right']","[0.2611956670007203, 0.4742783749825321]","[0.19262320798588917, 0.6079906249942724]",return,1.2741607499774545,None,0,0,0,0,0,0,0,2,0.818671249988256,,0.04440062498906627,0.1964253330079373,0.1964253330079373,0.759387833008077,return,0.552844207995804,None,0.8059843330120202,0.04653454199433327,1.8812735000101384,1.8813060829997994,1.9356199160101824,2.7423012499930337,2.742377165996004,2.7500109579996206,4.2526455000042915,4.242037082993193,4.2454988330136985,4.395642916002544,4.395642916002544,4.395642916002544,4.395642916002544,4.395642916002544,4.395642916002544,4.395642916002544,5.675207249994855,"[-0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.321, -0.331, -0.341, -0.351, -0.361, -0.371, -0.381, -0.391, -0.391, -0.391, -0.391, -0.391, -0.391, -0.391, -0.391, -0.391, -0.391, -0.391, -0.381, -0.371, -0.361, -0.351, -0.341, -0.331, -0.321, -0.311, -0.301, -0.291, -0.281, -0.271, -0.261, -0.251, -0.241, -0.231, -0.221, -0.211, -0.201, -0.191, -0.181, -0.171, -0.161, -0.151, -0.141, -0.131, -0.121, -0.111, -0.101, -0.091, -0.081, -0.071, -0.061, -0.051, -0.041, -0.031, -0.021, -0.011, -0.001, 0.009, 0.019, 0.029, 0.039, 0.049, 0.059, 0.069, 0.079, 0.089, 0.099, 0.109, 0.119, 0.129, 0.139, 0.149, 0.149, 0.149, 0.149, 0.149, 0.149, 0.149, 0.149, 0.149, 0.149, 0.149, 0.149, 0.149, 0.149, 0.149, 0.149, 0.149, 0.149, 0.149, 0.149, 0.149]",None,None,"['left', 'right']","[0.2611956670007203, 0.4742783749825321]","[0.19262320798588917, 0.6079906249942724]",return,1.2741607499774545,None,5.675472750008339,5.691374916001223,5.691374916001223,5.691374916001223,6.658746750006685,-1,-1,,,,,,D,2025-03-04_21h07.25.364,asymmetry_v10,2024.2.4,None,2025-03-04 21h07.34.137821 -0500,
1,val_C1F0,1,1,0,1,0.0,24,2.5,0.1,4.0,rew,pen,pen_rew,0.1,input_data/stims/Shape_2.50_4.00.png,0.0,-0.2347290961043006,input_data/stims/Shape_0.00_4.00.png,input_data/stims/Shape_4.00_4.00.png,return,0.552844207995804,None,None,None,"['left', 'right']","[0.2914082499919459, 0.4803114579990506]","[0.12722379199112765, 0.4361307919898536]",return,1.38647949998267,None,0,0,0,0,0,1,1,24,6.66469095798675,,,,,,,,,6.659432457992807,0.0006548749806825072,7.659708082996076,7.659741500014206,7.690566790988669,8.644115875009447,8.644204375013942,8.650140457990346,10.230201208003564,10.141976290993625,10.144662166014314,10.230201208003564,10.230201208003564,10.230201208003564,10.230201208003564,10.230201208003564,10.230201208003564,10.230201208003564,11.620767999993404,"[-0.235, -0.235, -0.235, -0.235, -0.235, -0.235, -0.235, -0.235, -0.235, -0.235, -0.235, -0.235, -0.235, -0.235, -0.235, -0.235, -0.235, -0.235, -0.235, -0.235, -0.235, -0.235, -0.235, -0.235, -0.235, -0.235, -0.235, -0.235, -0.235, -0.235, -0.235, -0.235, -0.235, -0.235, -0.245, -0.255, -0.265, -0.275, -0.285, -0.295, -0.305, -0.315, -0.325, -0.335, -0.345, -0.345, -0.345, -0.345, -0.345, -0.345, -0.345, -0.335, -0.325, -0.315, -0.305, -0.295, -0.285, -0.275, -0.265, -0.255, -0.245, -0.235, -0.225, -0.215, -0.205, -0.195, -0.185, -0.175, -0.165, -0.155, -0.145, -0.135, -0.125, -0.115, -0.105, -0.095, -0.085, -0.075, -0.065, -0.055, -0.045, -0.035, -0.025, -0.015, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005, -0.005]",None,None,"['left', 'right']","[0.2914082499919459, 0.4803114579990506]","[0.12722379199112765, 0.4361307919898536]",return,1.38647949998267,None,11.62127249999321,11.631598290987313,,,12.608691750006983,-1,-2,11.631598290987313,11.631598290987313,11.631598290987313,11.631598290987313,,D,2025-03-04_21h07.25.364,asymmetry_v10,2024.2.4,None,2025-03-04 21h07.34.137821 -0500,
1,val_C1F0,2,2,0,1,0.0,23,2.3,0.0599999999999999,4.0,rew,pen,rew_pen,-0.0599999999999999,input_data/stims/Shape_2.30_4.00.png,0.0,0.3649413400311081,input_data/stims/Shape_4.00_4.00.png,input_data/stims/Shape_0.00_4.00.png,return,0.552844207995804,None,None,None,['left'],[0.28974508299143054],[0.599982000014279],return,1.15087704200414,None,0,0,0,0,0,2,2,23,12.614396832999773,,,,,,,,,12.609246500011068,0.0005376670160330832,13.609516541007906,13.609550374996616,13.640969916014,14.591569415992126,14.591642125014914,14.596867165993899,16.096643875003792,16.091097666008864,16.09221350000007,16.156345374998637,16.156345374998637,16.156345374998637,16.156345374998637,16.156345374998637,16.156345374998637,16.156345374998637,17.313075250014663,"[0.365, 0.365, 0.365, 0.365, 0.365, 0.365, 0.365, 0.365, 0.365, 0.365, 0.365, 0.365, 0.365, 0.365, 0.365, 0.365, 0.365, 0.365, 0.365, 0.365, 0.365, 0.365, 0.365, 0.365, 0.365, 0.365, 0.365, 0.365, 0.365, 0.365, 0.365, 0.365, 0.365, 0.355, 0.345, 0.335, 0.325, 0.315, 0.305, 0.295, 0.285, 0.275, 0.265, 0.255, 0.245, 0.235, 0.225, 0.215, 0.205, 0.195, 0.185, 0.175, 0.165, 0.155, 0.145, 0.135, 0.125, 0.115, 0.105, 0.095, 0.085, 0.075, 0.065, 0.055, 0.045, 0.035, 0.025, 0.015, 0.005, -0.005, -0.015, -0.025, -0.035, -0.045, -0.055, -0.065, -0.075, -0.085, -0.095, -0.105, -0.115, -0.115, -0.115, -0.115, -0.115, -0.115, -0.115, -0.115, -0.115, -0.115, -0.115, -0.115, -0.115, -0.115, -0.115, -0.115, -0.115, -0.115, -0.115, -0.115, -0.115, -0.115, -0.115, -0.115, -0.115, -0.115, -0.115]",None,None,['left'],[0.28974508299143054],[0.599982000014279],return,1.15087704200414,None,17.31334408299881,17.31945650000125,17.31945650000125,,18.298405375011498,1,1,,,,,,D,2025-03-04_21h07.25.364,asymmetry_v10,2024.2.4,None,2025-03-04 21h07.34.137821 -0500,
1,,3,3,0,1,0.0,21,2.1,0.02,4.0,rew,pen,rew_pen,-0.02,input_data/stims/Shape_2.10_4.00.png,0.0,0.2837817097939768,input_data/stims/Shape_4.00_4.00.png,input_data/stims/Shape_0.00_4.00.png,,,,,,,,,,,,,,,,0,3,3,21,18.308339957991848,,,,,,,,,18.298955291014863,0.0005307919927872717,19.29917437498807,19.299207665986614,19.32914170800359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
