blockN,stimVal,thisN,thisTrialN,thisRepN,run,condition,trial_key,stim_file_pos,stim_pos,noise_pos,anchor,shape,shape_order,div_pos,target_pos,subj_C0F1_val,subj_C1F0_val,target_file,img1_file,img2_file,block_start_resp.keys,block_start_resp.rt,block_start_resp.duration,slider.response,slider.rt,slider_resp.keys,submit_resp.keys,submit_resp.rt,submit_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,new_block.started,block_start_text.started,block_start_resp.started,new_block.stopped,blocks.block_start_resp.keys,blocks.block_start_resp.rt,blocks.block_start_resp.duration,baseline.started,ISI1.started,baseline.stopped,stim.started,target_stim.started,target_stim.stopped,stim.stopped,delay.started,ISI2.started,delay.stopped,task.started,img1.started,img2.started,divider_line.started,slider_line.started,slider.started,slider_resp.started,submit_resp.started,img1.stopped,img2.stopped,divider_line.stopped,slider_line.stopped,slider.stopped,slider_resp.stopped,submit_resp.stopped,task.stopped,positions,trials.slider.response,trials.slider.rt,trials.slider_resp.keys,trials.submit_resp.keys,feedback.started,no_resp_text.started,no_resp_text.stopped,feedback.stopped,valence,correct,outcome,trials.submit_resp.rt,trials.submit_resp.duration,Lcoin.started,Rcoin.started,Lcross.started,Rcross.started,Lcross.stopped,Rcross.stopped,subj,sess_type,date,expName,psychopyVersion,frameRate,expStart,
1,subj_C0F1_val,0,0,0,1,baseline,29,2.9,0.18,4,-0.007462643,flat,flat_curv,0.0,-0.18,rew,pen,input_data/stims/Shape_2.90_4.00.png,input_data/stims/Shape_4.00_4.00.png,input_data/stims/Shape_0.00_4.00.png,return,1.3809717909971368,None,None,None,None,None,,,0,0,0,0,0,0,0,29,1.7118021249989397,,0.14296220899996115,0.277806292004243,0.277806292004243,1.665088834000926,return,1.3809717909971368,None,1.7013517090017558,0.036226708005415276,2.685377542002243,2.685416709005949,2.7233541250025155,3.3695846250047907,3.365323250000074,3.365360750001855,4.279200220480561e-05,4.8489785000056145,4.8504196670037345,4.932962958999269,4.932962958999269,4.932962958999269,4.932962958999269,4.932962958999269,4.932962958999269,4.932962958999269,6.968514334002975,6.968514334002975,6.968514334002975,6.968514334002975,6.968514334002975,6.968514334002975,6.968514334002975,6.956934750000073,"[-0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, 0.003, 0.013, 0.023, 0.033, 0.043, 0.053, 0.063, 0.073, 0.083, 0.093, 0.103, 0.113, 0.123, 0.133, 0.143, 0.153, 0.163, 0.173, 0.183, 0.193, 0.203, 0.213, 0.223, 0.233, 0.233, 0.233, 0.233, 0.233, 0.233, 0.233, 0.233, 0.233, 0.233, 0.233, 0.233, 0.233, 0.233, 0.233, 0.233, 0.233, 0.233, 0.233, 0.223, 0.213, 0.203, 0.193, 0.183, 0.173, 0.163, 0.153, 0.143, 0.133, 0.123, 0.113, 0.103, 0.093, 0.083, 0.073, 0.063, 0.053, 0.043, 0.033, 0.023, 0.013, 0.003, -0.007, -0.017, -0.027, -0.037, -0.047, -0.057, -0.067, -0.077, -0.087, -0.097, -0.107, -0.117, -0.127, -0.137, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147]",None,None,None,None,6.965355125001224,6.968514334002975,7.6363024590027635,7.6309437090021675,rew,0,0,,,,,,,,,,A,2025-03-07_16h01.15.583,asymmetry_v11,2024.2.4,60,2025-03-07 16h01.28.367340 -0500,
1,subj_C0F1_val,1,1,0,1,baseline,4,0.5,-0.3,0,-0.238763139,curv,curv_flat,0.0,-0.3,pen,rew,input_data/stims/Shape_0.50_0.00.png,input_data/stims/Shape_0.00_0.00.png,input_data/stims/Shape_4.00_0.00.png,return,1.3809717909971368,None,None,None,None,return,1.5460233749981853,None,0,0,0,0,0,1,1,4,7.6363024590027635,,,,,,,,,7.63127925000299,0.00032129199826158583,8.614823500000057,8.614867917000083,8.64951120900514,9.327436958999897,9.3238625840022,9.323898084003304,4.379200254334137e-05,10.807425500002864,10.808547042004648,10.864757584000472,10.864757584000472,10.864757584000472,10.864757584000472,10.864757584000472,10.864757584000472,10.864757584000472,,,,,,,,12.42399533400021,"[-0.239, -0.239, -0.239, -0.239, -0.239, -0.239, -0.239, -0.239, -0.239, -0.239, -0.239, -0.239, -0.239, -0.239, -0.229, -0.219, -0.209, -0.199, -0.189, -0.179, -0.169, -0.159, -0.149, -0.139, -0.129, -0.129, -0.129, -0.129, -0.129, -0.129, -0.129, -0.129, -0.129, -0.129, -0.129, -0.129, -0.129, -0.129, -0.129, -0.129, -0.129, -0.129, -0.129, -0.129, -0.129, -0.129, -0.129, -0.129, -0.129, -0.129, -0.129, -0.129, -0.129, -0.129, -0.119, -0.109, -0.099, -0.089, -0.079, -0.069, -0.059, -0.049, -0.039, -0.029, -0.019, -0.009, 0.001, 0.011, 0.021, 0.021, 0.021, 0.021, 0.021, 0.021, 0.021, 0.021, 0.021, 0.021, 0.021, 0.021, 0.021, 0.031, 0.041, 0.051, 0.061, 0.071, 0.081, 0.091, 0.101, 0.111, 0.121, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131, 0.131]",None,None,None,return,12.424772209000366,12.43199666700093,13.10349112500262,13.096591792003892,pen,-1,-2,1.5460233749981853,None,12.43199666700093,12.43199666700093,12.43199666700093,12.43199666700093,13.10349112500262,13.10349112500262,,A,2025-03-07_16h01.15.583,asymmetry_v11,2024.2.4,60,2025-03-07 16h01.28.367340 -0500,
1,subj_C0F1_val,2,2,0,1,baseline,17,1.7,-0.06,0,0.385094824,curv,flat_curv,0.0,0.06,pen,rew,input_data/stims/Shape_1.70_0.00.png,input_data/stims/Shape_4.00_0.00.png,input_data/stims/Shape_0.00_0.00.png,return,1.3809717909971368,None,None,None,None,None,,,0,0,0,0,0,2,2,17,13.10349112500262,,,,,,,,,13.09685945900128,0.00026308400265406817,14.08043612500478,14.080469167005504,14.115397500005201,14.787056959001347,14.773602625005879,14.773637167003471,4.4957996578887105e-05,16.257202042004792,16.258370042000024,16.310142000002088,16.310142000002088,16.310142000002088,16.310142000002088,16.310142000002088,16.310142000002088,16.310142000002088,18.32023583400587,18.32023583400587,18.32023583400587,18.32023583400587,18.32023583400587,18.32023583400587,18.32023583400587,18.29853970900149,"[0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385, 0.385]",None,None,None,None,18.30396812500112,18.32023583400587,18.987056500001927,18.972777625000163,pen,0,0,,,,,,,,,,A,2025-03-07_16h01.15.583,asymmetry_v11,2024.2.4,60,2025-03-07 16h01.28.367340 -0500,
1,,3,3,0,1,baseline,6,0.7,-0.26,0,-0.297170515,curv,curv_flat,0.0,-0.26,pen,rew,input_data/stims/Shape_0.70_0.00.png,input_data/stims/Shape_0.00_0.00.png,input_data/stims/Shape_4.00_0.00.png,,,,,,,,,,,,,,0,3,3,6,18.987056500001927,,,,,,,,,18.973039417003747,0.0002573750025476329,19.95658516700496,19.956625584003632,19.98629145900486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
