blockN,stimVal,thisN,thisTrialN,thisRepN,run,condition,trial_key,stim_file_pos,stim_pos,noise_pos,anchor,shape,shape_order,div_pos,target_pos,subj_C0F1_val,subj_C1F0_val,target_file,img1_file,img2_file,block_start_resp.keys,block_start_resp.rt,block_start_resp.duration,slider.response,slider.rt,slider_resp.keys,slider_resp.rt,slider_resp.duration,submit_resp.keys,submit_resp.rt,submit_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,new_block.started,block_start_text.started,block_start_resp.started,new_block.stopped,blocks.block_start_resp.keys,blocks.block_start_resp.rt,blocks.block_start_resp.duration,baseline.started,ISI1.started,baseline.stopped,stim.started,target_stim.started,target_stim.stopped,stim.stopped,delay.started,ISI2.started,delay.stopped,task.started,img1.started,img2.started,divider_line.started,slider_line.started,slider.started,slider_resp.started,submit_resp.started,task.stopped,positions,trials.slider.response,trials.slider.rt,trials.slider_resp.keys,trials.slider_resp.rt,trials.slider_resp.duration,trials.submit_resp.keys,trials.submit_resp.rt,trials.submit_resp.duration,feedback.started,no_resp_text.started,Mcoin.started,Mcross.started,no_resp_text.stopped,Mcoin.stopped,Mcross.stopped,feedback.stopped,valence,correct,outcome,Lcoin.started,Rcoin.started,subj,sess_type,date,expName,psychopyVersion,frameRate,expStart,
1,subj_C0F1_val,0,0,0,1,baseline,29,2.9,0.18,4,-0.007462643,flat,flat_curv,0.0,-0.18,rew,pen,input_data/stims/Shape_2.90_4.00.png,input_data/stims/Shape_4.00_4.00.png,input_data/stims/Shape_0.00_4.00.png,up,0.8881045829912182,None,None,None,['right'],[0.48447875000420026],[0.24797466699965298],up,1.6684873750200495,None,0,0,0,0,0,0,0,29,1.1299235839978792,,0.09478937499807216,0.18808033398818225,0.18808033398818225,1.0807300840097014,up,0.8881045829912182,None,1.1153408749960363,0.03457516699563712,2.099379334016703,2.0994098749943078,2.1295467920135707,2.766547625011299,2.7632640000083484,2.7632986250100657,4.212500061839819e-05,4.246808875002898,4.247617459011963,4.351730208989466,4.351730208989466,4.351730208989466,4.351730208989466,4.351730208989466,4.351730208989466,4.351730208989466,6.031392834003782,"[-0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, -0.007, 0.003, 0.013, 0.023, 0.033, 0.043, 0.053, 0.063, 0.073, 0.083, 0.093, 0.103, 0.113, 0.123, 0.133, 0.143, 0.153, 0.163, 0.173, 0.183, 0.193, 0.203, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213, 0.213]",None,None,['right'],[0.48447875000420026],[0.24797466699965298],up,1.6684873750200495,None,6.031721125007607,6.039876124996226,6.039876124996226,6.039876124996226,6.709757667005761,6.709757667005761,6.709757667005761,6.704657624999527,rew,-1,-1,,,,A,2025-03-10_20h16.58.149,asymmetry_v13,2024.2.4,60,2025-03-10 20h17.06.360999 -0400,
1,subj_C0F1_val,1,1,0,1,baseline,31,3.1,0.22,4,-0.059630919,flat,flat_curv,0.0,-0.22,rew,pen,input_data/stims/Shape_3.10_4.00.png,input_data/stims/Shape_4.00_4.00.png,input_data/stims/Shape_0.00_4.00.png,up,0.8881045829912182,None,None,None,['left'],[0.3319490000139922],[0.2479672500048764],up,0.8999069580167998,None,0,0,0,0,0,1,1,31,6.709757667005761,,,,,,,,,6.704940750001697,0.0002749580016825348,7.6884465840121266,7.688470791996224,7.715113959013252,8.393856875016354,8.38138958401396,8.381425583997043,4.612500197254121e-05,9.864882750000106,9.865662500000326,9.912281917000655,9.912281917000655,9.912281917000655,9.912281917000655,9.912281917000655,9.912281917000655,9.912281917000655,10.813643708999734,"[-0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.06, -0.07, -0.08, -0.09, -0.1, -0.11, -0.12, -0.13, -0.14, -0.15, -0.16, -0.17, -0.18, -0.19, -0.2, -0.21, -0.22, -0.23, -0.24, -0.25, -0.26, -0.27, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28, -0.28]",None,None,['left'],[0.3319490000139922],[0.2479672500048764],up,0.8999069580167998,None,10.813873542007059,10.826947374996962,,,11.493698709004093,,,11.479905417014379,rew,1,2,10.826947374996962,10.826947374996962,,A,2025-03-10_20h16.58.149,asymmetry_v13,2024.2.4,60,2025-03-10 20h17.06.360999 -0400,
1,subj_C0F1_val,2,2,0,1,baseline,25,2.5,0.1,4,-0.160021924,flat,flat_curv,0.0,-0.1,rew,pen,input_data/stims/Shape_2.50_4.00.png,input_data/stims/Shape_4.00_4.00.png,input_data/stims/Shape_0.00_4.00.png,up,0.8881045829912182,None,None,None,['right'],[0.2819769160123542],[0.1680619170074351],up,0.6979802490095608,None,0,0,0,0,0,2,2,25,11.493698709004093,,,,,,,,,11.480199584009824,0.0002923340070992708,12.463718499988317,12.463750333990902,12.487607459013816,13.143098417000147,13.138760709000053,13.138796292012557,4.520901711657643e-05,14.622269542014692,14.623045667016413,14.66628916701302,14.66628916701302,14.66628916701302,14.66628916701302,14.66628916701302,14.66628916701302,14.66628916701302,15.371580459002871,"[-0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.16, -0.15, -0.14, -0.13, -0.12, -0.11, -0.1, -0.09, -0.08, -0.07, -0.06, -0.05, -0.04, -0.03, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02, -0.02]",None,None,['right'],[0.2819769160123542],[0.1680619170074351],up,0.6979802490095608,None,15.371769624995068,15.376767334004398,,,16.04315129198949,,,16.037875584006542,rew,1,2,15.376767334004398,15.376767334004398,,A,2025-03-10_20h16.58.149,asymmetry_v13,2024.2.4,60,2025-03-10 20h17.06.360999 -0400,
1,,3,3,0,1,baseline,12,1.3,-0.14,0,-0.26561076,curv,curv_flat,0.0,-0.14,pen,rew,input_data/stims/Shape_1.30_0.00.png,input_data/stims/Shape_0.00_0.00.png,input_data/stims/Shape_4.00_0.00.png,,,,,,,,,,,,,,,,0,3,3,12,16.04315129198949,,,,,,,,,16.038183124997886,0.00030437498935498297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
