blockN,stimVal,thisN,thisTrialN,thisRepN,run,div,trial_key,stim_pos,noise_pos,val_C0F1,val_C1F0,valence_disp,target_pos,target_file,disp_div,anchor,img1_file,img2_file,block_start_resp.keys,block_start_resp.rt,block_start_resp.duration,slider.response,slider.rt,slider_resp.keys,slider_resp.rt,slider_resp.duration,submit_resp.keys,submit_resp.rt,submit_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,new_block.started,block_start_text.started,block_start_resp.started,new_block.stopped,blocks.block_start_resp.keys,blocks.block_start_resp.rt,blocks.block_start_resp.duration,stim.started,targ_pos.started,stim.stopped,delay.started,delay.stopped,task.started,img1.started,img2.started,divider_line.started,slider_line.started,slider.started,slider_resp.started,submit_resp.started,debug_task_text.started,task.stopped,positions,trials.slider.response,trials.slider.rt,trials.slider_resp.keys,trials.slider_resp.rt,trials.slider_resp.duration,trials.submit_resp.keys,trials.submit_resp.rt,trials.submit_resp.duration,feedback.started,no_resp_text.started,Mcoin.started,feedback.stopped,correct,outcome,ITI.started,ITI.stopped,subj,sess_type,date,expName,psychopyVersion,frameRate,expStart,
1,val_C1F0,0,0,0,1,0.0,33,3.3,4,rew,pen,pen_rew,0.26,input_data/stims/Shape_3.30_4.00.png,0.0,0.050864691,input_data/stims/Shape_0.00_4.00.png,input_data/stims/Shape_4.00_4.00.png,space,1.0562781660119072,None,None,None,"['right', 'left']","[0.20276608297717758, 0.7820915000047535]","[0.35988825000822544, 0.27608087498811074]",space,1.4219073329877574,None,0,0,0,0,0,0,0,33,1.7800729580048937,,0.06050729099661112,0.20387708299676888,0.20387708299676888,1.2656368750031106,space,1.0562781660119072,None,1.7269882909895387,1.7800729580048937,2.2883892499958165,2.288537082989933,2.288834915991174,2.963569332991028,3.8631897080049384,3.8631897080049384,3.8631897080049384,3.8631897080049384,3.8631897080049384,3.8631897080049384,3.8631897080049384,3.8631897080049384,5.290234749991214,"[0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.061, 0.071, 0.081, 0.091, 0.101, 0.111, 0.121, 0.131, 0.141, 0.151, 0.161, 0.171, 0.181, 0.191, 0.201, 0.211, 0.221, 0.231, 0.241, 0.251, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.261, 0.251, 0.241, 0.231, 0.221, 0.211, 0.201, 0.191, 0.181, 0.171, 0.161, 0.151, 0.141, 0.131, 0.121, 0.111, 0.101, 0.101, 0.101, 0.101, 0.101, 0.101, 0.101, 0.101, 0.101, 0.101, 0.101, 0.101, 0.101, 0.101, 0.101, 0.101, 0.101, 0.101, 0.101, 0.101, 0.101, 0.101, 0.101]",None,None,"['right', 'left']","[0.20276608297717758, 0.7820915000047535]","[0.35988825000822544, 0.27608087498811074]",space,1.4219073329877574,None,5.316446874989197,5.328321499982849,5.328321499982849,6.28887270798441,1,1,6.288983290985925,6.289133165992098,,D,2025-03-02_22h08.55.105,asymmetry_v8,2024.2.4,None,2025-03-02 22h09.04.148866 -0500,
1,val_C1F0,1,1,0,1,0.0,0,0.1,0,pen,rew,pen_rew,-0.38,input_data/stims/Shape_0.10_0.00.png,0.0,-0.185960941,input_data/stims/Shape_0.00_0.00.png,input_data/stims/Shape_4.00_0.00.png,space,1.0562781660119072,None,None,None,"['left', 'right']","[1.0102161249960773, 1.4109744580055121]","[0.3600716660148464, 1.4280175830062944]",None,,,0,0,0,0,0,1,1,0,6.590419665997615,,,,,,,,,6.582355291000567,7.3348677909816615,8.29955841600895,8.29964620800456,8.299918125005206,8.783868583006551,9.873339999991003,9.873339999991003,9.873339999991003,9.873339999991003,9.873339999991003,9.873339999991003,9.873339999991003,9.873339999991003,12.804304791003233,"[-0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.186, -0.196, -0.206, -0.216, -0.226, -0.236, -0.246, -0.256, -0.266, -0.276, -0.286, -0.296, -0.306, -0.316, -0.326, -0.336, -0.346, -0.356, -0.366, -0.376, -0.386, -0.396, -0.396, -0.396, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386, -0.386]",None,None,"['left', 'right']","[1.0102161249960773, 1.4109744580055121]","[0.3600716660148464, 1.4280175830062944]",None,,,12.8395567080006,12.846641249983804,,13.789242750004632,0,0,13.789333708002232,13.789431249984773,,D,2025-03-02_22h08.55.105,asymmetry_v8,2024.2.4,None,2025-03-02 22h09.04.148866 -0500,
1,,2,2,0,1,0.0,7,0.7,4,pen,rew,rew_pen,0.26,input_data/stims/Shape_0.70_4.00.png,0.0,0.064635228,input_data/stims/Shape_4.00_4.00.png,input_data/stims/Shape_0.00_4.00.png,,,,,,,,,,,,,,,,0,2,2,7,14.05032412498258,,,,,,,,,14.044127415982075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
