blockN,stimVal,thisN,thisTrialN,thisRepN,run,div,trial_key,stim_pos,noise_pos,val_C0F1,val_C1F0,valence_disp,target_pos,target_file,disp_div,anchor,img1_file,img2_file,block_start_resp.keys,block_start_resp.rt,block_start_resp.duration,slider.response,slider.rt,slider_resp.keys,slider_resp.rt,slider_resp.duration,submit_resp.keys,submit_resp.rt,submit_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,new_block.started,block_start_text.started,block_start_resp.started,new_block.stopped,blocks.block_start_resp.keys,blocks.block_start_resp.rt,blocks.block_start_resp.duration,stim.started,targ_pos.started,stim.stopped,delay.started,delay.stopped,task.started,img1.started,img2.started,divider_line.started,slider_line.started,slider.started,slider_resp.started,submit_resp.started,debug_task_text.started,task.stopped,positions,trials.slider.response,trials.slider.rt,trials.slider_resp.keys,trials.slider_resp.rt,trials.slider_resp.duration,trials.submit_resp.keys,trials.submit_resp.rt,trials.submit_resp.duration,feedback.started,no_resp_text.started,Mcoin.started,Mcross.started,feedback.stopped,correct,outcome,ITI.started,ITI.stopped,subj,sess_type,date,expName,psychopyVersion,frameRate,expStart,
1,val_C0F1,0,0,0,1,0.0,33,3.3,4.0,rew,pen,rew_pen,-0.2599999999999999,input_data/stims/Shape_3.30_4.00.png,0.0,-0.0831025610520691,input_data/stims/Shape_4.00_4.00.png,input_data/stims/Shape_0.00_4.00.png,space,1.0989782079996075,None,None,None,"['right', 'right', 'right']","[0.7524576249998063, 1.2396269160090014, 1.73865816599573]","[0.24410895799519494, 0.1719764169829432, 0.13996691702050157]",space,2.23836200000369,None,0,0,0,0,0,0,0,33,1.8448253329843283,,0.07150016599916853,0.22508800000650808,0.22508800000650808,1.3412617499998305,space,1.0989782079996075,None,1.7901747080031782,1.8448253329843283,2.3515312499948777,2.35163841600297,2.3518979999935254,3.0101513330009766,3.958080374985002,3.958080374985002,3.958080374985002,3.958080374985002,3.958080374985002,3.958080374985002,3.958080374985002,3.958080374985002,6.208969165978488,"[-0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.083, -0.073, -0.063, -0.053, -0.043, -0.033, -0.023, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.013, -0.003, 0.007, 0.017, 0.027, 0.037, 0.047, 0.057, 0.067, 0.077, 0.077, 0.077, 0.077, 0.077, 0.077, 0.077, 0.077, 0.077, 0.077, 0.077, 0.077, 0.077, 0.077, 0.077, 0.077, 0.077, 0.077, 0.077, 0.077, 0.077, 0.087, 0.097, 0.107, 0.117, 0.127, 0.137, 0.147, 0.147, 0.147, 0.147, 0.147, 0.147, 0.147, 0.147, 0.147, 0.147, 0.147, 0.147, 0.147, 0.147, 0.147, 0.147, 0.147, 0.147, 0.147, 0.147, 0.147, 0.147, 0.147]",None,None,"['right', 'right', 'right']","[0.7524576249998063, 1.2396269160090014, 1.73865816599573]","[0.24410895799519494, 0.1719764169829432, 0.13996691702050157]",space,2.23836200000369,None,6.240897249983391,6.254495625005802,6.254495625005802,6.254495625005802,7.207282499992289,-1,-1,7.207447332999436,7.207644749985775,,C,2025-03-02_21h05.53.865,asymmetry_v8,2024.2.4,None,2025-03-02 21h06.03.142041 -0500,
1,,1,1,0,1,0.0,16,1.7,0.0,pen,rew,pen_rew,-0.06,input_data/stims/Shape_1.70_0.00.png,0.0,-0.1735409980772975,input_data/stims/Shape_0.00_0.00.png,input_data/stims/Shape_4.00_0.00.png,,,,,,,,,,,,,,,,0,1,1,16,7.531604124989826,,,,,,,,,7.525026791001437,8.2546772499918,9.217557790980209,9.217683416005457,9.217967415985186,9.696912332990905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
