blockN,stimVal,thisN,thisTrialN,thisRepN,run,div,trial_key,stim_file_pos,stim_pos,noise_pos,val_C0F1,val_C1F0,valence_disp,target_pos,target_file,disp_div,anchor,img1_file,img2_file,block_start_resp.keys,block_start_resp.rt,block_start_resp.duration,slider.response,slider.rt,slider_resp.keys,submit_resp.keys,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,new_block.started,block_start_text.started,block_start_resp.started,new_block.stopped,blocks.block_start_resp.keys,blocks.block_start_resp.rt,blocks.block_start_resp.duration,ITI.started,ISI1.started,ITI.stopped,stim.started,target_stim.started,stim.stopped,delay.started,ISI2.started,delay.stopped,task.started,img1.started,img2.started,divider_line.started,slider_line.started,slider.started,slider_resp.started,submit_resp.started,task.stopped,positions,trials.slider.response,trials.slider.rt,trials.slider_resp.keys,trials.submit_resp.keys,feedback.started,no_resp_text.started,feedback.stopped,correct,outcome,subj,sess_type,date,expName,psychopyVersion,frameRate,expStart,
1,val_C1F0,0,0,0,1,0.0,2,0.3,-0.34,0.0,pen,rew,pen_rew,-0.34,input_data/stims/Shape_0.30_0.00.png,0.0,-0.3109277528268858,input_data/stims/Shape_0.00_0.00.png,input_data/stims/Shape_4.00_0.00.png,return,1.0214122920006048,None,None,None,None,None,0,0,0,0,0,0,0,2,1.2609305829973891,,0.05279950000112876,0.18989479198353365,0.18989479198353365,1.2142754170054104,return,1.0214122920006048,None,1.2504052500007674,0.036107457999605685,2.2511565829918254,2.251196583005367,2.291151624987833,3.206637541996315,3.206669332983438,-0.0003110000106971711,4.714774958003545,4.715947332995711,4.793928333005169,4.793928333005169,4.793928333005169,4.793928333005169,4.793928333005169,4.793928333005169,4.793928333005169,7.715433749981457,"[-0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311, -0.311]",None,None,None,None,7.725644332997035,7.730863874981878,8.70380804198794,0,0,,D,2025-03-04_22h46.25.300,asymmetry_v10,2024.2.4,None,2025-03-04 22h46.34.708677 -0500,
1,,1,1,0,1,0.0,35,3.5,0.3,4.0,rew,pen,rew_pen,-0.3,input_data/stims/Shape_3.50_4.00.png,0.0,0.2632122625508539,input_data/stims/Shape_4.00_4.00.png,input_data/stims/Shape_0.00_4.00.png,,,,,,,,,,,,0,1,1,35,8.71102937500109,,,,,,,,,8.70406879199436,0.0002562500012572855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
