blockN,stimVal,thisN,thisTrialN,thisRepN,run,div,trial_key,stim_file_pos,stim_pos,noise_pos,val_C0F1,val_C1F0,valence_disp,target_pos,target_file,disp_div,anchor,img1_file,img2_file,block_start_resp.keys,block_start_resp.rt,block_start_resp.duration,slider.response,slider.rt,slider_resp.keys,slider_resp.rt,slider_resp.duration,submit_resp.keys,submit_resp.rt,submit_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,new_block.started,block_start_text.started,block_start_resp.started,new_block.stopped,blocks.block_start_resp.keys,blocks.block_start_resp.rt,blocks.block_start_resp.duration,ITI1.started,text_3.started,ITI1.stopped,stim.started,targ_pos.started,stim.stopped,delay.started,text.started,text.stopped,delay.stopped,task.started,img1.started,img2.started,divider_line.started,slider_line.started,slider.started,slider_resp.started,submit_resp.started,task.stopped,positions,trials.slider.response,trials.slider.rt,trials.slider_resp.keys,trials.slider_resp.rt,trials.slider_resp.duration,trials.submit_resp.keys,trials.submit_resp.rt,trials.submit_resp.duration,feedback.started,no_resp_text.started,Mcoin.started,Mcross.started,feedback.stopped,correct,outcome,targ_pos.stopped,subj,sess_type,date,expName,psychopyVersion,frameRate,expStart,
1,val_C1F0,0,0,0,1,0.0,18,1.9,-0.02,0.0,pen,rew,pen_rew,-0.02,input_data/stims/Shape_1.90_0.00.png,0.0,-0.1474053042349395,input_data/stims/Shape_0.00_0.00.png,input_data/stims/Shape_4.00_0.00.png,return,2.755010291992221,None,None,None,['right'],[0.49153608302003704],[0.41528291697613895],return,1.1977062500081956,None,0,0,0,0,0,0,0,18,2.986825708998367,,0.03463820900651626,0.16648704200633802,0.16648704200633802,2.925171084003523,return,2.755010291992221,None,2.97357733399258,2.986825708998367,3.91287937501329,3.923702542000683,3.9314522500208113,4.912268250016496,4.912342166993767,4.923404417000711,7.166648125014035,6.407364875019994,7.086011209001299,7.166648125014035,7.166648125014035,7.166648125014035,7.166648125014035,7.166648125014035,7.166648125014035,7.166648125014035,8.375210541998968,"[-0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.147, -0.137, -0.127, -0.117, -0.107, -0.097, -0.087, -0.077, -0.067, -0.057, -0.047, -0.037, -0.027, -0.017, -0.007, 0.003, 0.013, 0.023, 0.033, 0.043, 0.053, 0.063, 0.073, 0.083, 0.093, 0.103, 0.113, 0.123, 0.133, 0.143, 0.153, 0.163, 0.173, 0.173, 0.173, 0.173, 0.173, 0.173, 0.173, 0.173, 0.173, 0.173, 0.173, 0.173, 0.173, 0.173, 0.173, 0.173, 0.173, 0.173, 0.173, 0.173, 0.173, 0.173, 0.173, 0.173, 0.173, 0.173]",None,None,['right'],[0.49153608302003704],[0.41528291697613895],return,1.1977062500081956,None,8.404576291999547,8.41321541700745,8.41321541700745,8.41321541700745,9.36332320899237,-1,-1,,,D,2025-03-04_20h29.18.388,asymmetry_v10,2024.2.4,None,2025-03-04 20h29.27.346935 -0500,
1,val_C1F0,1,1,0,1,0.0,5,0.5,-0.3,0.0,pen,rew,rew_pen,0.3,input_data/stims/Shape_0.50_0.00.png,0.0,0.0356712015951818,input_data/stims/Shape_4.00_0.00.png,input_data/stims/Shape_0.00_0.00.png,return,2.755010291992221,None,None,None,['left'],[0.40693420902243815],[0.3071728329814505],return,0.9072716250084341,None,0,0,0,0,0,1,1,5,9.373655125004007,,,,,,,,,9.363893417001236,9.373655125004007,10.346196708997013,10.353091541997856,10.35940466701868,11.348078917013481,11.348153124999953,11.356454124994343,13.382877124997322,12.840847834013402,13.33079054200789,13.382877124997322,13.382877124997322,13.382877124997322,13.382877124997322,13.382877124997322,13.382877124997322,13.382877124997322,14.299084625003161,"[0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.036, 0.026, 0.016, 0.006, -0.004, -0.014, -0.024, -0.034, -0.044, -0.054, -0.064, -0.074, -0.084, -0.094, -0.104, -0.114, -0.124, -0.134, -0.144, -0.154, -0.164, -0.174, -0.184, -0.194, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204, -0.204]",None,None,['left'],[0.40693420902243815],[0.3071728329814505],return,0.9072716250084341,None,14.32116095899255,14.328482917015208,14.328482917015208,14.328482917015208,15.290066999994451,-1,-1,11.356454124994343,,D,2025-03-04_20h29.18.388,asymmetry_v10,2024.2.4,None,2025-03-04 20h29.27.346935 -0500,
1,val_C1F0,2,2,0,1,0.0,17,1.7,-0.06,0.0,pen,rew,rew_pen,0.06,input_data/stims/Shape_1.70_0.00.png,0.0,0.3021424108440187,input_data/stims/Shape_4.00_0.00.png,input_data/stims/Shape_0.00_0.00.png,return,2.755010291992221,None,None,None,['left'],[0.5130122079863213],[0.6150869590055663],return,1.2919188749801833,None,0,0,0,0,0,2,2,17,15.2943878340011,,,,,,,,,15.290306459006388,15.2943878340011,16.273361458996078,16.27648479200434,16.281610334001016,17.27373266700306,17.273775459005265,17.27799058399978,19.257144208997488,18.763492708996637,19.206682084011845,19.257144208997488,19.257144208997488,19.257144208997488,19.257144208997488,19.257144208997488,19.257144208997488,19.257144208997488,20.558443084009923,"[0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.302, 0.292, 0.282, 0.272, 0.262, 0.252, 0.242, 0.232, 0.222, 0.212, 0.202, 0.192, 0.182, 0.172, 0.162, 0.152, 0.142, 0.132, 0.122, 0.112, 0.102, 0.092, 0.082, 0.072, 0.062, 0.052, 0.042, 0.032, 0.022, 0.012, 0.002, -0.008, -0.018, -0.028, -0.038, -0.048, -0.058, -0.068, -0.078, -0.088, -0.098, -0.108, -0.118, -0.128, -0.138, -0.148, -0.158, -0.168, -0.168, -0.168, -0.168, -0.168, -0.168, -0.168, -0.168, -0.168, -0.168, -0.168, -0.168, -0.168, -0.168, -0.168, -0.168, -0.168, -0.168]",None,None,['left'],[0.5130122079863213],[0.6150869590055663],return,1.2919188749801833,None,20.581113292020746,20.588089958997443,20.588089958997443,20.588089958997443,21.5469064170029,-1,-1,17.27799058399978,,D,2025-03-04_20h29.18.388,asymmetry_v10,2024.2.4,None,2025-03-04 20h29.27.346935 -0500,
1,,3,3,0,1,0.0,28,2.9,0.18,4.0,rew,pen,pen_rew,0.18,input_data/stims/Shape_2.90_4.00.png,0.0,-0.2229522711498998,input_data/stims/Shape_0.00_4.00.png,input_data/stims/Shape_4.00_4.00.png,,,,,,,,,,,,,,,,0,3,3,28,21.556998625019332,,,,,,,,,21.547533917007968,21.556998625019332,22.52981862501474,22.53752095901291,22.543576124997344,23.530622916994616,23.530697209003847,23.540502292016754,25.551321917009773,25.023566167015815,25.500650333997328,25.551321917009773,25.551321917009773,25.551321917009773,25.551321917009773,25.551321917009773,25.551321917009773,25.551321917009773,26.363836750009796,"[-0.223, -0.223, -0.223, -0.223, -0.223, -0.223, -0.223, -0.223, -0.223, -0.223, -0.223, -0.223, -0.223, -0.223, -0.223, -0.223, -0.223, -0.223, -0.223, -0.223, -0.223, -0.223, -0.223, -0.223, -0.223, -0.223, -0.213, -0.203, -0.193, -0.183, -0.173, -0.163, -0.153, -0.143, -0.133, -0.123, -0.113, -0.103, -0.093, -0.083, -0.073, -0.063, -0.053, -0.043, -0.033, -0.023, -0.013, -0.003, 0.007, 0.017, 0.027, 0.037, 0.047, 0.057, 0.067, 0.067, 0.067, 0.067, 0.067, 0.067, 0.067, 0.067, 0.067, 0.067, 0.067, 0.067, 0.067, 0.067, 0.067, 0.067, 0.067, 0.067, 0.067]",None,None,['right'],[0.23887154200929217],[0.3632382499927189],return,0.7975438339926768,None,26.38987591699697,26.39567083399743,26.39567083399743,,,,,23.540502292016754,,,,,,,,
