blockN,stimVal,thisN,thisTrialN,thisRepN,run,condition,trial_key,stim_file_pos,stim_pos,noise_pos,anchor,shape,shape_order,div_pos,target_pos,subj_C0F1_val,subj_C1F0_val,target_file,img1_file,img2_file,block_start_resp.keys,block_start_resp.rt,block_start_resp.duration,slider.response,slider.rt,slider_resp.keys,slider_resp.rt,slider_resp.duration,submit_resp.keys,submit_resp.rt,submit_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,new_block.started,block_start_text.started,block_start_resp.started,new_block.stopped,blocks.block_start_resp.keys,blocks.block_start_resp.rt,blocks.block_start_resp.duration,baseline.started,placeHolder_base.started,ISI1.started,placeHolder_base.stopped,baseline.stopped,stim.started,target_stim.started,target_stim.stopped,stim.stopped,delay.started,placeeHolder_delay.started,ISI2.started,placeeHolder_delay.stopped,delay.stopped,task.started,img1.started,img2.started,divider_line.started,slider_line.started,slider.started,slider_resp.started,submit_resp.started,img1.stopped,img2.stopped,divider_line.stopped,slider_line.stopped,slider.stopped,slider_resp.stopped,submit_resp.stopped,task.stopped,positions,trials.slider.response,trials.slider.rt,trials.slider_resp.keys,trials.slider_resp.rt,trials.slider_resp.duration,trials.submit_resp.keys,feedback.started,no_resp_text.started,no_resp_text.stopped,feedback.stopped,valence,correct,outcome,trials.submit_resp.rt,trials.submit_resp.duration,Lcoin.started,Rcoin.started,Lcross.started,Rcross.started,Lcross.stopped,Rcross.stopped,subj,sess_type,date,expName,psychopyVersion,frameRate,expStart,
1,subj_C0F1_val,0,0,0,1,baseline,21,2.1,0.02,4,-0.072865506,flat,flat_curv,0.0,-0.02,rew,pen,input_data/stims/Shape_2.10_4.00.png,input_data/stims/Shape_4.00_4.00.png,input_data/stims/Shape_0.00_4.00.png,up,0.6079453330021352,None,None,None,"['left', 'right']","[0.43824650000897236, 0.9664148340234533]","[0.14336016701417975, 0.38795324999955483]",None,,,0,0,0,0,0,0,0,21,0.9399544159823563,,0.13979441599803977,0.27377637499012053,0.27377637499012053,0.8857004579913337,up,0.6079453330021352,None,0.9222639579966199,0.9399544159823563,0.036544542002957314,2.4573030000028666,2.418584582977928,2.4186127909924835,2.4573030000028666,2.9542738329910208,2.9518967079930007,2.9520399579778314,2.9542738329910208,0.00015095798880793154,5.380434499995317,5.289241040998604,5.290694082999835,5.380434499995317,5.380434499995317,5.380434499995317,5.380434499995317,5.380434499995317,5.380434499995317,5.380434499995317,6.887167040986242,6.887167040986242,6.887167040986242,6.887167040986242,6.887167040986242,6.887167040986242,6.887167040986242,6.875519708002685,"[-0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.073, -0.083, -0.093, -0.103, -0.113, -0.123, -0.133, -0.143, -0.153, -0.163, -0.173, -0.183, -0.193, -0.203, -0.213, -0.223, -0.233, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.243, -0.233, -0.223, -0.213, -0.203, -0.193, -0.183, -0.173, -0.163, -0.153, -0.143, -0.133, -0.123, -0.113, -0.103, -0.093, -0.083, -0.073, -0.063, -0.053, -0.043, -0.033, -0.023, -0.013, -0.003, 0.007, 0.017, 0.027, 0.037, 0.047, 0.057, 0.067, 0.077, 0.087, 0.097, 0.107, 0.117, 0.127, 0.137, 0.147, 0.157, 0.167, 0.177, 0.187, 0.197, 0.207, 0.217, 0.227, 0.227, 0.227, 0.227, 0.227, 0.227, 0.227, 0.227, 0.227, 0.227, 0.227, 0.227, 0.227, 0.227, 0.227, 0.227, 0.227, 0.227]",None,None,"['left', 'right']","[0.43824650000897236, 0.9664148340234533]","[0.14336016701417975, 0.38795324999955483]",None,6.884760582994204,6.887167040986242,7.387080457992852,7.385130457987543,rew,0,0,,,,,,,,,,A,2025-03-10_21h42.42.689,asymmetry_v13,2024.2.4,60,2025-03-10 21h42.52.738522 -0400,
1,subj_C0F1_val,1,1,0,1,baseline,14,1.5,-0.1,0,-0.274089709,curv,curv_flat,0.0,-0.1,pen,rew,input_data/stims/Shape_1.50_0.00.png,input_data/stims/Shape_0.00_0.00.png,input_data/stims/Shape_4.00_0.00.png,up,0.6079453330021352,None,None,None,['right'],[0.4227034169889521],[0.256022458022926],up,1.3632113749918062,None,0,0,0,0,0,1,1,14,7.387080457992852,,,,,,,,,7.385521165997488,7.387080457992852,0.00038145799771882594,8.93525845799013,8.901806874986505,8.901834707998205,8.93525845799013,9.43678037499194,9.43506045799586,9.435183166002389,9.43678037499194,0.00012783400597982109,11.765096249990165,11.702708625001833,11.703975249984069,11.765096249990165,11.765096249990165,11.765096249990165,11.765096249990165,11.765096249990165,11.765096249990165,11.765096249990165,,,,,,,,13.136159165995196,"[-0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.274, -0.264, -0.254, -0.244, -0.234, -0.224, -0.214, -0.204, -0.194, -0.184, -0.174, -0.164, -0.154, -0.144, -0.134, -0.124, -0.114, -0.104, -0.094, -0.084, -0.074, -0.064, -0.054, -0.044, -0.034, -0.024, -0.014, -0.004, 0.006, 0.016, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026]",None,None,['right'],[0.4227034169889521],[0.256022458022926],up,13.136981207993813,13.142582665983355,13.637233665998792,13.635303207993275,pen,-1,-2,1.3632113749918062,None,13.142582665983355,13.142582665983355,13.142582665983355,13.142582665983355,13.637233665998792,13.637233665998792,,A,2025-03-10_21h42.42.689,asymmetry_v13,2024.2.4,60,2025-03-10 21h42.52.738522 -0400,
1,subj_C0F1_val,2,2,0,1,baseline,13,1.3,-0.14,0,0.229898637,curv,flat_curv,0.0,0.14,pen,rew,input_data/stims/Shape_1.30_0.00.png,input_data/stims/Shape_4.00_0.00.png,input_data/stims/Shape_0.00_0.00.png,up,0.6079453330021352,None,None,None,None,,,up,1.0185895409958903,None,0,0,0,0,0,2,2,13,13.637233665998792,,,,,,,,,13.635652165976353,13.637233665998792,0.0003434160025790334,15.155542458000127,15.122746290988289,15.122774916002527,15.155542458000127,15.653546624991577,15.651848832989344,15.651966957986588,15.653546624991577,0.00012558299931697547,17.988652457977878,17.939371374988696,17.94047387500177,17.988652457977878,17.988652457977878,17.988652457977878,17.988652457977878,17.988652457977878,17.988652457977878,17.988652457977878,,,,,,,,19.019502999988617,"[0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23]",None,None,None,,,up,19.024848375003785,19.02798437498859,19.54903862500214,19.539347457990516,pen,0,0,1.0185895409958903,None,,,,,,,,A,2025-03-10_21h42.42.689,asymmetry_v13,2024.2.4,60,2025-03-10 21h42.52.738522 -0400,
1,,3,3,0,1,baseline,2,0.3,-0.34,0,-0.05849196,curv,curv_flat,0.0,-0.34,pen,rew,input_data/stims/Shape_0.30_0.00.png,input_data/stims/Shape_0.00_0.00.png,input_data/stims/Shape_4.00_0.00.png,,,,,,,,,,,,,,,,0,3,3,2,19.54903862500214,,,,,,,,,19.53967999998713,19.54903862500214,0.0003296670038253069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
