boundary,boundary_label,stim,stim_idx,unique_stim_idx,class,resp,class_pred,net_idx,stim_aligned,resp_aligned,stim_rank
0.25,b=0.25,0.0476190485060215,1,0,0.0,0.18437326,0.0,1,-0.2023809514939785,-0.06562674045562744,1.5
0.25,b=0.25,0.095238097012043,2,1,0.0,0.18969738,0.0,1,-0.154761902987957,-0.06030261516571045,3.5
0.25,b=0.25,0.095238097012043,3,1,0.0,0.18969738,0.0,1,-0.154761902987957,-0.06030261516571045,3.5
0.25,b=0.25,0.1428571492433548,4,2,0.0,0.20155919,0.0,1,-0.1071428507566452,-0.04844081401824951,5.5
0.25,b=0.25,0.1428571492433548,5,2,0.0,0.20155919,0.0,1,-0.1071428507566452,-0.04844081401824951,5.5
0.25,b=0.25,0.190476194024086,6,3,0.0,0.2178008,0.0,1,-0.059523805975914,-0.032199203968048096,7.5
0.25,b=0.25,0.190476194024086,7,3,0.0,0.2178008,0.0,1,-0.059523805975914,-0.032199203968048096,7.5
0.25,b=0.25,0.2380952388048172,8,4,0.0,0.23496601,0.0,1,-0.0119047611951828,-0.015033990144729614,9.5
0.25,b=0.25,0.2380952388048172,9,4,0.0,0.23496601,0.0,1,-0.0119047611951828,-0.015033990144729614,9.5
0.25,b=0.25,0.2857142984867096,10,5,1.0,0.2530464,1.0,1,0.035714298486709595,0.003046393394470215,11.0
0.25,b=0.25,0.3333333432674408,11,6,1.0,0.27202335,1.0,1,0.0833333432674408,0.02202335000038147,12.0
0.25,b=0.25,0.380952388048172,12,7,1.0,0.29186738,1.0,1,0.130952388048172,0.04186737537384033,13.0
0.25,b=0.25,0.4285714328289032,13,8,1.0,0.31253752,1.0,1,0.1785714328289032,0.06253752112388611,14.0
0.25,b=0.25,0.4761904776096344,14,9,1.0,0.33398113,1.0,1,0.2261904776096344,0.08398112654685974,15.0
0.25,b=0.25,0.523809552192688,15,10,1.0,0.35613382,1.0,1,0.273809552192688,0.10613381862640381,16.0
0.25,b=0.25,0.5714285969734192,16,11,1.0,0.3789199,1.0,1,0.3214285969734192,0.12891989946365356,17.0
0.25,b=0.25,0.6190476417541504,17,12,1.0,0.40225306,1.0,1,0.3690476417541504,0.15225306153297424,18.0
0.25,b=0.25,0.6666666865348816,18,13,1.0,0.42603746,1.0,1,0.4166666865348816,0.17603746056556702,19.0
0.25,b=0.25,0.7142857313156128,19,14,1.0,0.45016903,1.0,1,0.4642857313156128,0.20016902685165405,20.0
0.5,b=0.50,0.0476190485060215,0,0,0.0,0.28063586,0.0,1,-0.4523809514939785,-0.21936413645744324,1.0
0.5,b=0.50,0.095238097012043,1,1,0.0,0.29947588,0.0,1,-0.404761902987957,-0.20052412152290344,2.0
0.5,b=0.50,0.1428571492433548,2,2,0.0,0.32044104,0.0,1,-0.3571428507566452,-0.17955896258354187,3.0
0.5,b=0.50,0.190476194024086,3,3,0.0,0.34215698,0.0,1,-0.309523805975914,-0.15784302353858948,4.0
0.5,b=0.50,0.2380952388048172,4,4,0.0,0.36455515,0.0,1,-0.2619047611951828,-0.13544484972953796,5.0
0.5,b=0.50,0.2857142984867096,5,5,0.0,0.38755572,0.0,1,-0.2142857015132904,-0.11244428157806396,6.0
0.5,b=0.50,0.3333333432674408,6,6,0.0,0.41106874,0.0,1,-0.1666666567325592,-0.08893126249313354,7.0
0.5,b=0.50,0.380952388048172,7,7,0.0,0.43499506,0.0,1,-0.119047611951828,-0.06500494480133057,8.0
