chanID,clustID,spikes,#spikes,avgFR,region,x,y,z
97,612,"[  18.08563333   23.6378       25.17166667 ... 1600.95396667 1601.53736667
 1601.88753333]",1062,0.6705384050871513,mLOFC1,-0.11160528659820557,40.172308921813965,-15.682235181331635
98,1583,"[   4.07056667   12.21563333   12.36443333 ... 1620.53116667 1620.94453333
 1621.08233333]",5454,3.3728882574818613,mLOFC2,-0.11160528659820557,42.57065546512604,-15.682235181331635
99,703,"[  17.70213333   21.48693333   22.60946667   25.5218       25.9344
   25.9553       26.77         27.57753333   28.456        29.3396
   33.71213333   64.87766667   67.14056667   67.14283333   68.43523333
   68.5785       69.462        70.3208       70.4041       71.22906667
   71.69583333   72.37126667   72.56266667   74.12976667   76.44713333
   79.42886667   79.8982       80.89846667   82.35776667   84.03046667
   84.04153333   86.48373333   87.05576667   88.43433333   88.58443333
   89.78486667   90.385        92.66103333   93.29886667   93.46936667
  100.7549      100.9248      104.60586667  109.35646667  112.7405
  113.2406      113.73263333  114.36613333  117.2748      117.51676667
  120.20876667  123.02423333  125.3012      125.89123333  126.13386667
  128.4515      128.80946667  131.5264      133.8434      136.23563333
  136.9106      139.09183333  139.3979      140.35326667  142.9039
  144.76223333  145.12893333  149.02173333  149.04646667  153.13886667
  157.83053333  175.79946667  176.63306667  177.67703333  177.67943333
  177.70673333  177.7457      177.76066667  178.30476667  179.61716667
  180.15063333  181.7344      182.46363333  183.60136667  183.6181
  184.12673333  185.58263333  186.20186667  189.45866667  190.79453333
  193.10276667  193.9696      194.3696      195.1697      195.2451
  195.41973333  195.9532      199.17046667  202.238       202.88816667
  206.10176667  206.36113333  206.5227      210.68953333  210.99066667
  212.40766667  213.11636667  213.537       213.6245      214.49143333
  216.56366667  216.86713333  217.73066667  218.04203333  218.6255
  219.2756      220.14236667  221.0672      221.4012      224.0016
  226.04826667  226.60986667  229.31        229.75993333  229.90586667
  230.21866667  234.2436      235.52693333  238.57736667  240.09026667
  241.2611      243.7115      245.24513333  246.06193333  247.26223333
  247.71223333  247.83763333  247.93756667  248.85376667  249.8547
  252.9471      253.23046667  253.72636667  259.2988      260.49906667
  261.0992      261.66596667  261.7159      262.0327      263.25813333
  263.3162      265.3666      265.41656667  265.66663333  266.0001
  267.82216667  269.03406667  269.05936667  269.60876667  270.95103333
  272.21796667  279.6649      282.3026      283.36943333  284.1695
  284.36676667  285.07816667  285.11946667  289.7189      291.52056667
  291.94966667  291.95383333  293.3375      293.92096667  294.97113333
  297.92966667  300.306       302.2064      302.6732      304.7069
  305.3737      307.16606667  307.2074      307.94606667  310.60786667
  314.65736667  315.5839      317.8256      321.20926667  322.50956667
  322.57616667  330.56076667  333.44463333  334.77836667  337.89176667
  338.97966667  342.21153333  345.13186667  346.21556667  347.11586667
  347.5159      350.1614      350.16413333  350.25853333  350.3189
  350.32196667  350.35006667  350.3834      350.43086667  358.40266667
  359.4697      359.49516667  359.88653333  360.41993333  360.78673333
  360.87006667  365.06333333  367.92206667  368.22216667  369.43916667
  373.7544      375.3073      375.6494      375.6907      376.10753333
  378.95806667  378.99396667  379.01806667  381.5504      385.60883333
  388.00893333  388.35093333  388.54226667  390.89233333  391.80903333
  393.19243333  393.29236667  394.37576667  395.34243333  400.25923333
  404.6426      405.33456667  405.49263333  406.1593      406.3347
  406.4094      408.01823333  414.08616667  414.87773333  415.2612
  415.66133333  423.6429      425.36173333  426.0478      427.35286667
  430.56543333  432.6158      432.93006667  433.08253333  434.26606667
  434.41606667  435.68293333  437.75843333  438.49986667  438.58953333
  439.00856667  440.2168      441.2669      443.33896667  444.58153333
  444.58406667  446.368       469.90956667  477.9426      480.61033333
  481.7694      483.58683333  483.92826667  485.42093333  488.43013333
  489.1056      491.03103333  494.89066667  496.49106667  497.92466667
  497.9994      503.0757      505.0257      505.7756      507.6004
  507.86706667  507.97566667  508.7556      518.9332      519.05846667
  519.98956667  520.8498      522.19963333  523.49953333  524.9581
  525.93276667  527.6337      527.6997      530.0078      530.70013333
  531.96703333  533.93416667  534.20103333  534.6011      536.2102
  540.96983333  542.87056667  543.38736667  545.388       548.37226667
  548.9225      549.33923333  550.30616667  550.3315      552.0653
  552.99033333  553.67383333  554.32906667  557.64143333  558.79176667
  559.65863333  560.31546667  561.15896667  561.40903333  561.8925
  563.07603333  563.42603333  566.0767      570.2775      570.83273333
  571.0776      573.76143333  577.02043333  577.87436667  578.44543333
  579.94563333  583.15846667  583.16933333  597.87963333  598.54616667
  599.02153333  599.26283333  599.3295      600.64596667  601.26253333
  601.5378      602.52896667  603.09553333  604.62846667  605.55893333
  605.59493333  605.84486667  606.0534      611.28183333  612.24323333
  614.7594      616.12573333  616.65896667  616.95896667  619.82523333
  620.52513333  620.7251      624.2248      624.9081      625.0581
  627.84156667  628.07483333  628.6633      631.175       632.09173333
  632.15843333  632.50853333  634.44196667  638.49253333  640.3261
  642.15696667  642.54316667  642.7265      647.39393333  650.89436667
  651.07773333  651.29436667  652.71126667  653.46993333  654.49476667
  655.0535      656.03686667  657.88356667  658.37856667  658.95383333
  660.01206667  662.17893333  663.02093333  663.74566667  664.8625
  665.86253333  666.31773333  666.44593333  667.06273333  667.97943333
  668.22946667  668.30856667  668.9214      671.5699      671.92193333
  672.08        672.2133      672.58003333  674.36383333  675.24723333
  675.84746667  677.38133333  679.3152      680.26543333  680.95756667
  685.58403333  700.6362      700.78623333  701.45306667  702.8203
  704.3129      705.37153333  705.55493333  705.83836667  711.11623333
  712.64166667  712.97513333  713.10856667  713.82553333  713.9589
  716.22663333  717.92733333  717.944       720.27003333  721.295
  721.9619      723.39553333  723.6709      728.32216667  729.96396667
  730.78953333  732.29806667  736.33223333  736.5489      736.58226667
  738.3491      738.44043333  738.76576667  738.79256667  740.87086667
  741.4375      741.6493      741.96586667  743.48246667  744.74896667
  745.99886667  746.1407      746.3154      747.58186667  749.32726667
  749.5534      753.24766667  754.14753333  754.8641      755.0808
  755.24143333  756.58566667  756.83066667  764.5295      765.81413333
  767.41776667  768.03793333  768.47686667  769.97926667  770.6126
  771.5626      771.58793333  772.12513333  772.29603333  773.7129
  774.86313333  776.08        777.17203333  777.96333333  778.29673333
  780.4962      783.2618      784.02806667  784.1447      784.37793333
  784.84186667  788.87583333  794.97413333  795.2493      796.62376667
  799.7153      800.5066      801.9898      802.14843333  802.4565
  804.00646667  804.75646667  808.47313333  810.78993333  814.4732
  814.9899      816.2732      816.5132      822.53893333  824.03066667
  826.13033333  828.38026667  831.51366667  835.03893333  835.57603333
  912.98903333  913.20543333  921.82796667  922.1996      923.0612
  924.5777      926.72743333  927.61073333  929.87713333  930.14386667
  931.1018      931.4024      931.50506667  932.16036667  932.62686667
  933.96023333  935.5267      935.7767      936.352       937.50986667
  938.17053333  955.80106667  956.31773333  956.5758      958.19773333
  959.74323333  961.69373333  965.46136667  965.6867      966.61166667
  967.42056667  967.44516667  967.96196667  968.76213333  968.91213333
  969.82893333  970.31236667  975.89633333  978.6133      984.98173333
  986.31413333  987.0895      988.22323333  991.58196667  992.5388
  995.0585      995.7334      995.91676667  996.4003      997.86743333
  999.05123333 1001.47736667 1002.85263333 1004.7701     1006.22073333
 1007.2799     1008.00486667 1009.7391     1014.52476667 1016.06723333
 1016.37543333 1018.56466667 1020.2353     1020.67676667 1021.87706667
 1021.97713333 1024.31096667 1025.0344     1027.87806667 1028.46146667
 1029.37803333 1029.87806667 1033.9945     1034.24446667 1034.44443333
 1034.77756667 1038.44383333 1041.67646667 1042.42626667 1045.93403333
 1047.1252     1047.85033333 1048.80816667 1048.97483333 1052.1576
 1052.4409     1053.20746667 1054.32403333 1055.3825     1056.87386667
 1071.89353333 1093.53033333 1096.28953333 1096.573      1097.8236
 1100.14973333 1100.69133333 1101.10816667 1102.1418     1106.57633333
 1107.852      1126.49413333 1126.6528     1127.74413333 1128.25033333
 1128.3274     1132.25256667 1134.97746667 1136.79433333 1140.89486667
 1141.21163333 1142.10376667 1142.97866667 1144.04553333 1144.8457
 1146.19593333 1148.9719     1149.13853333 1150.1134     1151.84703333
 1157.7315     1157.94026667 1159.93203333 1162.11593333 1168.8171
 1170.51746667 1170.5341     1171.2421     1171.44496667 1173.9845
 1174.05636667 1176.885      1178.13526667 1178.50196667 1180.03566667
 1184.04396667 1185.33666667 1186.68696667 1188.3706     1190.88773333
 1191.18533333 1191.9046     1192.63803333 1193.01883333 1193.44683333
 1194.05223333 1194.9347     1196.57223333 1199.43956667 1201.94033333
 1202.4571     1203.55746667 1204.6331     1206.1082     1206.33356667
 1206.50843333 1206.5483     1206.82143333 1207.3381     1207.65873333
 1213.47716667 1213.65523333 1213.73586667 1213.74393333 1218.08703333
 1220.946      1222.0217     1222.30506667 1226.99003333 1228.6153
 1229.14073333 1229.8657     1231.99976667 1233.06673333 1233.35893333
 1235.10066667 1235.56746667 1236.06756667 1237.11803333 1240.5355
 1240.7942     1241.41386667 1243.7448     1244.51966667 1246.58693333
 1247.97046667 1249.47066667 1252.271      1253.52793333 1253.57983333
 1253.85456667 1254.57783333 1255.7468     1256.27163333 1257.41373333
 1258.04516667 1260.9533     1262.1977     1262.611      1264.12276667
 1267.44       1269.41566667 1276.57596667 1278.29323333 1299.41526667
 1299.45243333 1299.8192     1300.21923333 1300.80293333 1309.95656667
 1314.35846667 1315.13203333 1315.20086667 1315.73643333 1326.49686667
 1331.38183333 1332.64893333 1333.3243     1333.67113333 1333.9326
 1334.7494     1335.83313333 1336.7419     1338.21713333 1342.77753333
 1343.48603333 1343.89476667 1347.07093333 1348.45486667 1350.1889
 1351.03923333 1352.98733333 1353.32343333 1355.30763333 1356.33883333
 1358.04196667 1358.5731     1361.2513     1363.02746667 1364.66133333
 1368.642      1379.91673333 1409.1949     1411.3097     1415.84453333
 1416.00723333 1420.37893333 1426.76336667 1427.0133     1428.88033333
 1429.8472     1434.21473333 1434.61476667 1435.54026667 1439.86623333
 1440.6973     1442.61636667 1446.06833333 1452.55106667 1454.40183333
 1454.85443333 1455.08776667 1455.27116667 1455.38556667 1455.5466
 1455.62126667 1456.37806667 1457.03836667 1458.7475     1460.90613333
 1461.79616667 1463.14006667 1463.2901     1463.59016667 1465.20713333
 1465.35726667 1467.15763333 1475.02576667 1475.74263333 1476.1159
 1477.7237     1478.84313333 1479.90996667 1480.4934     1481.19113333
 1482.74376667 1482.82463333 1483.34386667 1491.36186667 1494.4126
 1496.70543333 1497.28033333 1497.78053333 1499.40643333 1499.98133333
 1500.23146667 1501.1737     1501.56523333 1502.49893333 1502.82213333
 1503.24916667 1505.62503333 1510.53416667 1510.60083333 1512.18433333
 1514.05796667 1514.7682     1514.86006667 1515.61833333 1516.28513333
 1516.88516667 1518.26886667 1518.3608     1520.06943333 1521.5453
 1523.2373     1524.6046     1526.2104     1531.7251     1534.15973333
 1536.78653333 1537.183      1537.72836667 1538.75406667 1540.02943333
 1543.01253333 1545.5651     1545.63676667 1548.6749     1549.55003333
 1549.73343333 1549.93343333 1551.95103333 1552.83473333 1552.8601
 1556.13663333 1556.16196667 1559.10493333 1559.47176667 1562.10646667
 1567.6756     1567.9489     1568.79263333 1569.35946667 1569.95973333
 1571.41026667 1572.3691     1572.39126667 1573.5776     1573.66956667
 1574.67793333 1574.76996667 1575.24473333 1576.74526667 1579.52166667
 1580.52203333 1581.84733333 1582.58086667 1583.00636667 1583.1144
 1583.8286     1584.4816     1588.06626667 1588.34166667 1593.18486667
 1593.9352     1601.10396667 1602.12083333]",888,0.560457914312675,mLOFC3,-0.11160528659820557,41.37148219347,-15.682235181331635
100,683,"[  20.34896667   21.30346667   25.88433333 ... 1602.88773333 1603.67123333
 1619.27713333]",1044,0.6529374000437167,mLOFC4,-1.3113820552825928,40.172308921813965,-15.682235181331635
101,952,"[  18.24433333   20.95313333   21.3368     ... 1599.64493333 1600.79283333
 1602.8387    ]",1865,1.1769573584457398,mLOFC5,-1.3113820552825928,42.57065546512604,-15.682235181331635
102,2460,"[   2.2395        2.7039       17.36813333 ... 1620.80353333 1621.11636667
 1621.25763333]",5565,3.437268481077749,mLOFC6,-2.51115882396698,42.57065546512604,-15.682235181331635
102,2475,"[  21.89396667   23.41096667   32.29863333 ... 1619.81223333 1619.94493333
 1621.2527    ]",2432,1.5206094475948506,mLOFC6,-2.51115882396698,42.57065546512604,-15.682235181331635
102,2477,"[  18.13103333   18.39366667   18.5489     ... 1620.80773333 1620.98966667
 1621.0831    ]",10843,6.764394410462929,mLOFC6,-2.51115882396698,42.57065546512604,-15.682235181331635
103,1466,"[  17.21853333   18.21083333   18.4234     ... 1603.15746667 1603.4124
 1610.33986667]",3834,2.4065963588460724,mLOFC7,-2.51115882396698,40.172308921813965,-15.682235181331635
104,2349,"[   5.8953       13.2551       17.28773333 ... 1620.19013333 1620.31403333
 1621.03106667]",8883,5.499847247103458,mLOFC8,-2.51115882396698,41.37148219347,-15.682235181331635
