chanID,unitID
97,596
97,612
98,1432
98,1502
98,1543
98,1583
99,506
99,703
100,636
100,683
101,952
102,2460
102,2475
102,2477
103,1466
103,1469
104,2349
104,2405
104,2410
105,1892
105,1938
106,2423
106,2448
106,2455
106,2457
106,2481
107,1518
107,1755
107,1776
108,1348
108,1396
108,1553
108,1566
108,1567
109,1715
109,1760
109,1763
109,1772
110,976
110,1042
110,1045
111,1433
111,1799
111,1825
111,1953
111,1960
111,1972
112,1712
112,2185
112,2226
112,2236
113,2769
113,3198
113,3203
113,3227
113,3243
114,2308
114,2323
115,264
115,571
115,1998
116,1747
116,1901
116,1921
116,1935
117,1585
117,1736
118,1558
118,2261
118,2280
119,1663
119,1678
120,1373
120,1882
121,130
121,147
122,82
122,117
123,141
123,163
124,157
124,172
125,148
125,151
126,118
126,156
127,182
127,188
128,167
128,174
