chanID,unitID
193,853
193,855
193,866
193,874
193,892
193,898
194,40
194,244
194,245
194,247
195,53
195,291
195,422
195,467
195,474
195,569
195,625
195,639
196,61
196,201
196,309
196,369
197,53
197,174
197,186
197,290
198,74
198,355
198,416
198,435
198,501
199,2344
199,2403
199,2440
199,2449
200,731
200,823
200,838
200,843
200,873
200,880
200,888
200,927
201,1360
201,2101
201,2269
201,2274
201,2281
201,2350
202,1173
202,1361
202,1440
202,1657
203,1309
203,1310
203,1322
204,183
204,1320
204,1465
204,1763
204,1771
204,1780
204,1788
204,1864
204,1874
205,542
205,1077
205,1344
205,1346
206,1339
206,1353
206,1457
206,1537
206,1544
206,1548
206,1561
206,1568
206,1572
207,429
207,1896
207,1919
207,1948
207,1954
208,589
208,1305
208,1320
208,1321
208,1331
208,1342
