boundary,boundary_label,stim,stim_idx,unique_stim_idx,class,resp,class_pred,net_idx,stim_aligned,resp_aligned
0.5,b=0.50,0.380952388048172,7,7,0.0,0.44115174,0.0,8,-0.119047611951828,-0.05884826183319092
0.5,b=0.50,0.4285714328289032,8,8,0.0,0.46245286,0.0,8,-0.0714285671710968,-0.037547141313552856
0.5,b=0.50,0.4761904776096344,9,9,0.0,0.4838919,0.0,8,-0.0238095223903656,-0.01610809564590454
0.5,b=0.50,0.523809552192688,10,10,1.0,0.5053905,1.0,8,0.02380955219268799,0.005390524864196777
0.5,b=0.50,0.5714285969734192,11,11,1.0,0.52686906,1.0,8,0.07142859697341919,0.02686905860900879
0.5,b=0.50,0.6190476417541504,12,12,1.0,0.5482487,1.0,8,0.11904764175415039,0.04824870824813843
0.5,b=0.50,0.6666666865348816,13,13,1.0,0.5694517,1.0,8,0.1666666865348816,0.06945168972015381
0.5,b=0.50,0.7142857313156128,14,14,1.0,0.590403,1.0,8,0.2142857313156128,0.09040302038192749
0.5,b=0.50,0.761904776096344,15,15,1.0,0.61103123,1.0,8,0.261904776096344,0.11103123426437378
0.5,b=0.50,0.8095238208770752,16,16,1.0,0.6312694,1.0,8,0.3095238208770752,0.1312693953514099
0.5,b=0.50,0.8571428656578064,17,17,1.0,0.65105593,1.0,8,0.3571428656578064,0.1510559320449829
0.5,b=0.50,0.9047619104385376,18,18,1.0,0.67033505,1.0,8,0.4047619104385376,0.170335054397583
0.5,b=0.50,0.9523809552192688,19,19,1.0,0.6890578,1.0,8,0.4523809552192688,0.1890578269958496
0.75,b=0.75,0.2857142984867096,0,0,0.0,0.5811108,0.0,8,-0.4642857015132904,-0.16888922452926636
0.75,b=0.75,0.3333333432674408,1,1,0.0,0.60189134,0.0,8,-0.4166666567325592,-0.14810866117477417
0.75,b=0.75,0.380952388048172,2,2,0.0,0.6223111,0.0,8,-0.369047611951828,-0.12768888473510742
0.75,b=0.75,0.4285714328289032,3,3,0.0,0.6423059,0.0,8,-0.3214285671710968,-0.10769408941268921
0.75,b=0.75,0.4761904776096344,4,4,0.0,0.6618175,0.0,8,-0.2738095223903656,-0.08818250894546509
0.75,b=0.75,0.523809552192688,5,5,0.0,0.6807936,0.0,8,-0.226190447807312,-0.06920641660690308
0.75,b=0.75,0.5714285969734192,6,6,0.0,0.69918895,0.0,8,-0.1785714030265808,-0.050811052322387695
0.75,b=0.75,0.6190476417541504,7,7,0.0,0.71696484,0.0,8,-0.1309523582458496,-0.03303515911102295
0.75,b=0.75,0.6666666865348816,8,8,0.0,0.73408985,0.0,8,-0.08333331346511841,-0.01591014862060547
0.75,b=0.75,0.7142857313156128,9,9,0.0,0.7505393,1.0,8,-0.03571426868438721,0.0005393028259277344
0.75,b=0.75,0.761904776096344,10,10,1.0,0.766295,1.0,8,0.011904776096343994,0.016295015811920166
0.75,b=0.75,0.761904776096344,11,10,1.0,0.766295,1.0,8,0.011904776096343994,0.016295015811920166
0.75,b=0.75,0.8095238208770752,12,11,1.0,0.78134555,1.0,8,0.059523820877075195,0.03134554624557495
