shapes,blockN,condition,div_true,flipped,div_pos,stim_pos,target_pos,class_true,noise_pos,feature_0,feature_1,feature_2,feature_3
input_data/stims/Shape_3.50_2.00.png,1,baseline,0.0,1,0.0,0.3,-0.3,1,2.0,15.566202,-4.5861897,1.3227715,-2.0461159
input_data/stims/Shape_3.70_2.00.png,1,baseline,0.0,0,0.0,0.34,0.34,1,2.0,15.981511,-6.822782,2.9454346,-2.417956
input_data/stims/Shape_3.70_2.00.png,1,baseline,0.0,1,0.0,0.34,-0.34,1,2.0,15.981511,-6.822782,2.9454346,-2.417956
input_data/stims/Shape_3.90_2.00.png,1,baseline,0.0,0,0.0,0.38,0.38,1,2.0,17.24525,-8.866017,-0.630719,-5.464057
input_data/stims/Shape_3.90_2.00.png,1,baseline,0.0,1,0.0,0.38,-0.38,1,2.0,17.24525,-8.866017,-0.630719,-5.464057
input_data/stims/Shape_0.10_2.00.png,2,pen_comp,-0.2,0,-0.2,-0.38,-0.38,0,2.0,-18.188423,-11.823004,-6.470741,1.2497725
input_data/stims/Shape_0.10_2.00.png,2,pen_comp,-0.2,1,0.2,-0.38,0.38,0,2.0,-18.188423,-11.823004,-6.470741,1.2497725
input_data/stims/Shape_0.10_2.00.png,2,pen_comp,-0.2,0,-0.2,-0.38,-0.38,0,2.0,-18.188423,-11.823004,-6.470741,1.2497725
input_data/stims/Shape_0.10_2.00.png,2,pen_comp,-0.2,1,0.2,-0.38,0.38,0,2.0,-18.188423,-11.823004,-6.470741,1.2497725
input_data/stims/Shape_0.30_2.00.png,2,pen_comp,-0.2,0,-0.2,-0.34,-0.34,0,2.0,-19.039948,-9.294901,-1.5827478,1.0601437
input_data/stims/Shape_0.30_2.00.png,2,pen_comp,-0.2,1,0.2,-0.34,0.34,0,2.0,-19.039948,-9.294901,-1.5827478,1.0601437
input_data/stims/Shape_0.30_2.00.png,2,pen_comp,-0.2,0,-0.2,-0.34,-0.34,0,2.0,-19.039948,-9.294901,-1.5827478,1.0601437
input_data/stims/Shape_0.30_2.00.png,2,pen_comp,-0.2,1,0.2,-0.34,0.34,0,2.0,-19.039948,-9.294901,-1.5827478,1.0601437
input_data/stims/Shape_0.50_2.00.png,2,pen_comp,-0.2,0,-0.2,-0.3,-0.3,0,2.0,-17.791557,-4.115093,2.4484577,1.7192745
input_data/stims/Shape_0.50_2.00.png,2,pen_comp,-0.2,1,0.2,-0.3,0.3,0,2.0,-17.791557,-4.115093,2.4484577,1.7192745
input_data/stims/Shape_0.50_2.00.png,2,pen_comp,-0.2,0,-0.2,-0.3,-0.3,0,2.0,-17.791557,-4.115093,2.4484577,1.7192745
input_data/stims/Shape_0.50_2.00.png,2,pen_comp,-0.2,1,0.2,-0.3,0.3,0,2.0,-17.791557,-4.115093,2.4484577,1.7192745
input_data/stims/Shape_0.70_2.00.png,2,pen_comp,-0.2,0,-0.2,-0.26,-0.26,0,2.0,-15.006858,-2.686466,3.978524,0.0597843
input_data/stims/Shape_0.70_2.00.png,2,pen_comp,-0.2,1,0.2,-0.26,0.26,0,2.0,-15.006858,-2.686466,3.978524,0.0597843
input_data/stims/Shape_0.70_2.00.png,2,pen_comp,-0.2,0,-0.2,-0.26,-0.26,0,2.0,-15.006858,-2.686466,3.978524,0.0597843
input_data/stims/Shape_0.70_2.00.png,2,pen_comp,-0.2,1,0.2,-0.26,0.26,0,2.0,-15.006858,-2.686466,3.978524,0.0597843
input_data/stims/Shape_0.90_2.00.png,2,pen_comp,-0.2,0,-0.2,-0.22,-0.22,0,2.0,-13.753591,1.6907262,4.0232043,-2.2138097
input_data/stims/Shape_0.90_2.00.png,2,pen_comp,-0.2,1,0.2,-0.22,0.22,0,2.0,-13.753591,1.6907262,4.0232043,-2.2138097
input_data/stims/Shape_0.90_2.00.png,2,pen_comp,-0.2,0,-0.2,-0.22,-0.22,0,2.0,-13.753591,1.6907262,4.0232043,-2.2138097
input_data/stims/Shape_0.90_2.00.png,2,pen_comp,-0.2,1,0.2,-0.22,0.22,0,2.0,-13.753591,1.6907262,4.0232043,-2.2138097
