boundary,boundary_label,stim,stim_idx,unique_stim_idx,class,rep,resp,class_pred,net_idx,stim_aligned,resp_aligned
0.25,b=0.25,0.22499999999999998,9,4,0.0,9,0.17671244,0.0,0,-0.025000000000000022,-0.07328756153583527
0.25,b=0.25,0.22499999999999998,8,4,0.0,0,0.17671244,0.0,0,-0.025000000000000022,-0.07328756153583527
0.25,b=0.25,0.22499999999999998,8,4,0.0,1,0.17671244,0.0,0,-0.025000000000000022,-0.07328756153583527
0.5,b=0.50,0.22499999999999998,4,4,0.0,9,0.36194366,0.0,0,-0.275,-0.13805633783340454
0.5,b=0.50,0.22499999999999998,4,4,0.0,3,0.36194366,0.0,0,-0.275,-0.13805633783340454
0.5,b=0.50,0.22499999999999998,4,4,0.0,8,0.36194366,0.0,0,-0.275,-0.13805633783340454
0.75,b=0.75,0.475,4,4,0.0,9,0.67025566,0.0,0,-0.275,-0.07974433898925781
0.75,b=0.75,0.475,4,4,0.0,3,0.67025566,0.0,0,-0.275,-0.07974433898925781
0.75,b=0.75,0.475,4,4,0.0,8,0.67025566,0.0,0,-0.275,-0.07974433898925781
0.25,b=0.25,0.27499999999999997,10,5,1.0,9,0.20123826,0.0,0,0.024999999999999967,-0.04876174032688141
0.25,b=0.25,0.27499999999999997,10,5,1.0,3,0.20123826,0.0,0,0.024999999999999967,-0.04876174032688141
0.25,b=0.25,0.27499999999999997,10,5,1.0,8,0.20123826,0.0,0,0.024999999999999967,-0.04876174032688141
0.5,b=0.50,0.27499999999999997,5,5,0.0,9,0.38657838,0.0,0,-0.22500000000000003,-0.11342161893844604
0.5,b=0.50,0.27499999999999997,5,5,0.0,3,0.38657838,0.0,0,-0.22500000000000003,-0.11342161893844604
0.5,b=0.50,0.27499999999999997,5,5,0.0,8,0.38657838,0.0,0,-0.22500000000000003,-0.11342161893844604
0.75,b=0.75,0.5249999999999999,5,5,0.0,9,0.6948743,0.0,0,-0.2250000000000001,-0.05512571334838867
0.75,b=0.75,0.5249999999999999,5,5,0.0,3,0.6948743,0.0,0,-0.2250000000000001,-0.05512571334838867
0.75,b=0.75,0.5249999999999999,5,5,0.0,8,0.6948743,0.0,0,-0.2250000000000001,-0.05512571334838867
0.25,b=0.25,0.325,11,6,1.0,9,0.22576408,0.0,0,0.07500000000000001,-0.02423591911792755
0.25,b=0.25,0.325,11,6,1.0,3,0.22576408,0.0,0,0.07500000000000001,-0.02423591911792755
0.25,b=0.25,0.325,11,6,1.0,8,0.22576408,0.0,0,0.07500000000000001,-0.02423591911792755
0.5,b=0.50,0.325,6,6,0.0,9,0.41121304,0.0,0,-0.175,-0.08878695964813232
0.5,b=0.50,0.325,6,6,0.0,3,0.41121304,0.0,0,-0.175,-0.08878695964813232
0.5,b=0.50,0.325,6,6,0.0,8,0.41121304,0.0,0,-0.175,-0.08878695964813232
0.75,b=0.75,0.575,6,6,0.0,9,0.7194001,0.0,0,-0.17500000000000004,-0.030599892139434814
0.75,b=0.75,0.575,6,6,0.0,3,0.7194001,0.0,0,-0.17500000000000004,-0.030599892139434814
0.75,b=0.75,0.575,6,6,0.0,8,0.7194001,0.0,0,-0.17500000000000004,-0.030599892139434814
0.25,b=0.25,0.375,12,7,1.0,9,0.25028992,1.0,0,0.125,0.0002899169921875
0.25,b=0.25,0.375,12,7,1.0,3,0.25028992,1.0,0,0.125,0.0002899169921875
0.25,b=0.25,0.375,12,7,1.0,8,0.25028992,1.0,0,0.125,0.0002899169921875
0.5,b=0.50,0.375,7,7,0.0,9,0.4357934,0.0,0,-0.125,-0.06420660018920898
0.5,b=0.50,0.375,7,7,0.0,3,0.4357934,0.0,0,-0.125,-0.06420660018920898
0.5,b=0.50,0.375,7,7,0.0,8,0.4357934,0.0,0,-0.125,-0.06420660018920898
0.75,b=0.75,0.625,7,7,0.0,9,0.743926,0.0,0,-0.125,-0.006074011325836182
0.75,b=0.75,0.625,7,7,0.0,3,0.743926,0.0,0,-0.125,-0.006074011325836182
0.75,b=0.75,0.625,7,7,0.0,8,0.743926,0.0,0,-0.125,-0.006074011325836182
0.25,b=0.25,0.425,13,8,1.0,9,0.27481577,1.0,0,0.175,0.024815768003463745
0.25,b=0.25,0.425,13,8,1.0,3,0.27481577,1.0,0,0.175,0.024815768003463745
0.25,b=0.25,0.425,13,8,1.0,8,0.27481577,1.0,0,0.175,0.024815768003463745
0.5,b=0.50,0.425,8,8,0.0,9,0.46031922,0.0,0,-0.07500000000000001,-0.03968077898025513
0.5,b=0.50,0.425,8,8,0.0,3,0.46031922,0.0,0,-0.07500000000000001,-0.03968077898025513
0.5,b=0.50,0.425,8,8,0.0,8,0.46031922,0.0,0,-0.07500000000000001,-0.03968077898025513
0.75,b=0.75,0.6749999999999999,8,8,0.0,9,0.76845175,1.0,0,-0.07500000000000007,0.0184517502784729
0.75,b=0.75,0.6749999999999999,8,8,0.0,3,0.76845175,1.0,0,-0.07500000000000007,0.0184517502784729
0.75,b=0.75,0.6749999999999999,8,8,0.0,8,0.76845175,1.0,0,-0.07500000000000007,0.0184517502784729
0.25,b=0.25,0.475,14,9,1.0,9,0.29934156,1.0,0,0.22499999999999998,0.049341559410095215
0.25,b=0.25,0.475,14,9,1.0,3,0.29934156,1.0,0,0.22499999999999998,0.049341559410095215
0.25,b=0.25,0.475,14,9,1.0,8,0.29934156,1.0,0,0.22499999999999998,0.049341559410095215
0.5,b=0.50,0.475,9,9,0.0,9,0.48484498,0.0,0,-0.025000000000000022,-0.015155017375946045
0.5,b=0.50,0.475,9,9,0.0,3,0.48484498,0.0,0,-0.025000000000000022,-0.015155017375946045
0.5,b=0.50,0.475,9,9,0.0,8,0.48484498,0.0,0,-0.025000000000000022,-0.015155017375946045
0.75,b=0.75,0.725,9,9,0.0,9,0.7929776,1.0,0,-0.025000000000000022,0.04297757148742676
0.75,b=0.75,0.725,9,9,0.0,3,0.7929776,1.0,0,-0.025000000000000022,0.04297757148742676
0.75,b=0.75,0.725,9,9,0.0,8,0.7929776,1.0,0,-0.025000000000000022,0.04297757148742676
0.25,b=0.25,0.5249999999999999,15,10,1.0,9,0.32386738,1.0,0,0.2749999999999999,0.07386738061904907
0.25,b=0.25,0.5249999999999999,15,10,1.0,3,0.32386738,1.0,0,0.2749999999999999,0.07386738061904907
0.25,b=0.25,0.5249999999999999,15,10,1.0,8,0.32386738,1.0,0,0.2749999999999999,0.07386738061904907
0.5,b=0.50,0.5249999999999999,10,10,1.0,9,0.50937086,1.0,0,0.02499999999999991,0.009370863437652588
0.5,b=0.50,0.5249999999999999,10,10,1.0,3,0.50937086,1.0,0,0.02499999999999991,0.009370863437652588
0.5,b=0.50,0.5249999999999999,10,10,1.0,8,0.50937086,1.0,0,0.02499999999999991,0.009370863437652588
0.75,b=0.75,0.7749999999999999,11,10,1.0,0,0.81750345,1.0,0,0.02499999999999991,0.06750345230102539
0.75,b=0.75,0.7749999999999999,11,10,1.0,2,0.81750345,1.0,0,0.02499999999999991,0.06750345230102539
0.75,b=0.75,0.7749999999999999,10,10,1.0,3,0.81750345,1.0,0,0.02499999999999991,0.06750345230102539
0.75,b=0.75,0.7749999999999999,11,10,1.0,9,0.81750345,1.0,0,0.02499999999999991,0.06750345230102539
0.75,b=0.75,0.7749999999999999,10,10,1.0,0,0.81750345,1.0,0,0.02499999999999991,0.06750345230102539
0.75,b=0.75,0.7749999999999999,10,10,1.0,1,0.81750345,1.0,0,0.02499999999999991,0.06750345230102539
0.25,b=0.25,0.575,16,11,1.0,9,0.3483932,1.0,0,0.32499999999999996,0.09839320182800293
0.25,b=0.25,0.575,16,11,1.0,3,0.3483932,1.0,0,0.32499999999999996,0.09839320182800293
0.25,b=0.25,0.575,16,11,1.0,8,0.3483932,1.0,0,0.32499999999999996,0.09839320182800293
0.5,b=0.50,0.575,11,11,1.0,9,0.5338967,1.0,0,0.07499999999999996,0.033896684646606445
0.5,b=0.50,0.575,11,11,1.0,3,0.5338967,1.0,0,0.07499999999999996,0.033896684646606445
0.5,b=0.50,0.575,11,11,1.0,8,0.5338967,1.0,0,0.07499999999999996,0.033896684646606445
0.75,b=0.75,0.825,13,11,1.0,0,0.8420292,1.0,0,0.07499999999999996,0.09202921390533447
0.75,b=0.75,0.825,13,11,1.0,2,0.8420292,1.0,0,0.07499999999999996,0.09202921390533447
0.75,b=0.75,0.825,12,11,1.0,3,0.8420292,1.0,0,0.07499999999999996,0.09202921390533447
0.75,b=0.75,0.825,13,11,1.0,9,0.8420292,1.0,0,0.07499999999999996,0.09202921390533447
0.75,b=0.75,0.825,12,11,1.0,0,0.8420292,1.0,0,0.07499999999999996,0.09202921390533447
0.75,b=0.75,0.825,12,11,1.0,1,0.8420292,1.0,0,0.07499999999999996,0.09202921390533447
0.25,b=0.25,0.625,17,12,1.0,9,0.372919,1.0,0,0.375,0.1229189932346344
0.25,b=0.25,0.625,17,12,1.0,3,0.372919,1.0,0,0.375,0.1229189932346344
0.25,b=0.25,0.625,17,12,1.0,8,0.372919,1.0,0,0.375,0.1229189932346344
0.5,b=0.50,0.625,12,12,1.0,9,0.55842245,1.0,0,0.125,0.05842244625091553
0.5,b=0.50,0.625,12,12,1.0,3,0.55842245,1.0,0,0.125,0.05842244625091553
0.5,b=0.50,0.625,12,12,1.0,8,0.55842245,1.0,0,0.125,0.05842244625091553
0.75,b=0.75,0.875,15,12,1.0,0,0.8611139,1.0,0,0.125,0.11111390590667725
0.75,b=0.75,0.875,15,12,1.0,2,0.8611139,1.0,0,0.125,0.11111390590667725
0.75,b=0.75,0.875,14,12,1.0,3,0.8611139,1.0,0,0.125,0.11111390590667725
0.75,b=0.75,0.875,15,12,1.0,9,0.8611139,1.0,0,0.125,0.11111390590667725
0.75,b=0.75,0.875,14,12,1.0,0,0.8611139,1.0,0,0.125,0.11111390590667725
0.75,b=0.75,0.875,14,12,1.0,1,0.8611139,1.0,0,0.125,0.11111390590667725
0.25,b=0.25,0.6749999999999999,18,13,1.0,9,0.39744484,1.0,0,0.42499999999999993,0.14744484424591064
