shapes,blockN,condition,div_true,flipped,div_pos,stim_pos,target_pos,class_true,noise_pos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63
input_data/stims/Shape_0.10_2.00.png,1,baseline,0.0,0,0.0,-0.38,-0.38,0,2.0,-18.188427,-11.822999,-6.470743,1.249777,-3.7404606,-0.40494984,0.2403607,1.4213328,1.0799389,0.38466835,-0.46684015,-0.2901905,0.7112106,0.37609774,0.3161303,0.46620268,-0.3151238,0.06233462,0.41075093,-3.5796544e-05,-4.735796e-07,4.1168437e-06,3.7247858e-06,1.6644752e-06,2.8798404e-06,-8.046118e-07,-1.0620131e-06,3.8504063e-06,1.0819226e-06,2.4470528e-06,-3.7170696e-06,2.579678e-06,-2.8736195e-06,-3.3890294e-06,1.466551e-06,-2.2960074e-07,1.9091485e-06,2.41422e-06,1.3552857e-06,5.0755847e-07,8.3028295e-09,5.4529e-13,-5.620456e-13,-9.606267e-13,-9.859608e-13,3.766701e-13,2.7090399e-13,-2.9622276e-13,-3.7124289e-13,-2.6099847e-13,-2.67051e-15,-3.5344618e-14,-1.9728803e-13,-5.5094785e-13,-7.115623e-14,-4.9352173e-13,3.5085945e-13,4.1171686e-13,-4.1338306e-13,-5.5109487e-13,-8.117869e-14,-5.799404e-14,-6.5025696e-14,1.532788e-13
input_data/stims/Shape_0.10_2.00.png,1,baseline,0.0,1,0.0,-0.38,0.38,0,2.0,-18.188435,-11.823005,-6.470743,1.2497761,-3.7404594,-0.40494952,0.2403613,1.421333,1.0799395,0.38466892,-0.46683988,-0.2901901,0.7112112,0.37609893,0.31613055,0.46620172,-0.31512418,0.06233446,0.41075122,-3.5798348e-05,-5.9810986e-06,-1.921531e-06,6.2445804e-07,-2.11673e-06,1.4630027e-07,-4.432327e-06,-2.1337335e-06,4.3336226e-07,-2.3531895e-06,-1.8543225e-06,9.604066e-07,1.6817429e-06,3.8775634e-06,-1.2425121e-06,1.6925642e-06,3.5160122e-06,-1.2578444e-06,1.2895816e-06,-1.5827289e-06,9.099419e-07,2.8407383e-08,-6.8632936e-13,1.5984349e-12,-1.0618256e-12,7.414654e-13,1.7674821e-13,-4.718503e-13,7.931174e-13,-2.24683e-13,-7.866186e-14,-5.9721607e-13,5.2856902e-14,-4.8844885e-13,-1.9629085e-13,5.614389e-13,6.2621143e-13,-7.058453e-13,-1.1499737e-13,-4.901731e-13,3.3533823e-13,1.6789253e-13,4.562285e-13,-3.9484274e-13,8.5037954e-14
input_data/stims/Shape_0.30_2.00.png,1,baseline,0.0,0,0.0,-0.34,-0.34,0,2.0,-19.03996,-9.294896,-1.582746,1.0601476,-0.3335969,1.5651863,0.51154166,-1.0110711,-1.1297883,-0.44099262,0.75336814,-0.3718787,-0.9237444,-0.5080066,-0.986135,-0.9223693,0.75339806,-0.017172871,-0.61734533,-3.579561e-05,-1.1321576e-06,2.517113e-06,2.8752154e-06,1.3782555e-06,-1.0831842e-06,-5.072269e-07,2.3637726e-06,-1.9313752e-06,-5.094786e-06,-1.9646889e-06,3.0761094e-06,-1.0997328e-06,-1.4873378e-06,-3.2739144e-06,-3.8554017e-06,-1.4279422e-06,3.3719198e-06,5.2404437e-07,-2.726236e-06,-1.3869509e-06,-2.7518812e-08,1.4849067e-12,-3.673113e-13,-3.0822648e-13,6.062196e-13,-1.182177e-12,9.298509e-14,1.4184658e-12,-6.2284525e-13,-4.173294e-14,2.9451962e-13,2.2501404e-13,3.314194e-13,3.3608487e-13,3.018259e-14,6.706425e-14,-5.015138e-13,2.3275953e-13,-1.382626e-13,-3.4781428e-13,3.1055296e-13,-3.8134063e-15,1.648984e-13,1.7575214e-13
input_data/stims/Shape_0.30_2.00.png,1,baseline,0.0,1,0.0,-0.34,0.34,0,2.0,-19.03996,-9.294896,-1.5827467,1.0601484,-0.33359802,1.565188,0.51154107,-1.0110705,-1.1297882,-0.44099313,0.7533686,-0.3718788,-0.9237459,-0.5080069,-0.986135,-0.92237,0.7533984,-0.017173506,-0.61734504,-3.5796256e-05,-3.1040965e-06,-2.2147524e-06,1.4370355e-06,-4.5721595e-06,7.6143783e-07,4.219472e-06,1.419773e-06,1.8111416e-06,2.5304522e-07,-2.7350856e-08,3.9230913e-06,-1.0635413e-06,-2.238796e-06,5.4828047e-07,2.332942e-06,-1.3546401e-06,6.7781434e-07,2.690655e-06,4.5814318e-06,8.9462e-07,7.794203e-09,-8.201976e-13,5.231322e-13,-3.0146873e-13,-1.3420226e-12,-2.4772526e-13,5.3660846e-13,-2.6315929e-13,-7.3203504e-13,-4.342709e-13,-2.8890874e-13,-1.1232662e-12,7.584517e-13,7.6573226e-13,1.01827645e-13,1.7737812e-13,8.4411373e-13,4.8539243e-13,-5.1924e-13,5.089484e-13,-1.8809055e-15,2.540847e-13,-1.7305916e-13,-1.1003602e-13
input_data/stims/Shape_0.50_2.00.png,1,baseline,0.0,0,0.0,-0.3,-0.3,0,2.0,-17.791557,-4.1150894,2.4484608,1.7192732,2.5225613,-0.13032629,-0.6641112,-2.39055,-0.71952426,-0.6779438,0.17459042,1.2434332,-0.5704235,-0.04737324,0.8475678,1.3036072,-0.1762806,0.12763782,0.31687695,-3.5796158e-05,7.9352185e-07,-4.67762e-06,-2.961583e-08,2.8009774e-06,-3.575052e-06,8.432337e-08,-1.9597098e-06,-1.1004418e-06,-3.6919153e-06,5.7089824e-06,4.13163e-07,1.0425127e-06,-1.8475794e-06,-2.2063318e-06,-3.7226644e-07,1.567592e-06,2.9933597e-07,-2.2619062e-07,2.325088e-06,2.7841634e-06,6.586762e-08,2.4345424e-13,-7.886629e-13,-3.240224e-13,-7.70104e-13,1.4966081e-12,-5.80485e-13,-1.1875302e-12,-3.0033728e-13,-7.38439e-13,4.6021547e-13,1.0255091e-12,-8.484623e-13,-3.267787e-13,-5.6177715e-14,5.5673355e-14,-4.5282213e-13,1.3514396e-13,-2.424163e-13,-5.6596703e-13,-1.0421572e-13,8.394584e-15,-1.9947904e-14,2.3012153e-13
input_data/stims/Shape_0.50_2.00.png,1,baseline,0.0,1,0.0,-0.3,0.3,0,2.0,-17.791557,-4.1150894,2.448461,1.7192732,2.522563,-0.13032661,-0.6641099,-2.3905506,-0.7195241,-0.6779444,0.17459044,1.2434331,-0.57042366,-0.047372807,0.84756744,1.3036069,-0.1762808,0.12763803,0.31687704,-3.5796256e-05,4.919767e-07,9.487278e-07,-2.0949578e-06,3.1131801e-06,1.2564275e-06,1.0006489e-06,3.0418769e-06,-1.5076455e-06,3.3827402e-07,9.367313e-08,9.0413704e-07,1.2998547e-06,3.8649423e-06,-1.8963883e-06,-6.7037416e-07,-1.0943226e-06,-4.0535892e-06,6.7543574e-06,1.6830683e-06,-1.6815216e-06,-5.3082548e-08,-1.5780667e-12,1.4724408e-12,-1.7328158e-12,-1.176816e-12,-1.0161328e-12,-3.7300065e-13,-1.3886414e-13,-4.0296588e-13,7.60149e-14,-3.8694663e-13,-5.2852324e-13,2.2474882e-13,4.3440251e-13,-3.8055418e-13,-1.7476294e-13,4.8695683e-13,-1.8957671e-13,-3.694815e-13,7.1471946e-13,-1.3223003e-13,-7.7663e-15,1.3771421e-13,8.800708e-14
input_data/stims/Shape_0.70_2.00.png,1,baseline,0.0,0,0.0,-0.26,-0.26,0,2.0,-15.00686,-2.6864638,3.9785247,0.05978022,3.0969431,-2.1563003,-1.2410631,0.465106,-0.13859881,0.8461057,-0.30295143,0.27465832,1.4466983,-0.39483213,-0.26719296,-1.2104468,-0.76810235,-0.3064244,0.13849533,-3.5794325e-05,4.6129016e-06,-1.9703473e-06,1.3888377e-06,-8.194495e-07,-1.483143e-06,-4.6860714e-07,-4.2794854e-06,4.308355e-06,-4.120699e-07,-1.2643022e-06,9.2042967e-07,-1.3927045e-06,4.40333e-06,6.454261e-08,-1.0843848e-06,-2.4492783e-06,3.3841566e-06,3.178456e-06,-2.1817694e-07,-2.7054372e-07,-7.363782e-09,6.190427e-13,1.064041e-12,-1.0442723e-12,-5.636476e-13,-4.223344e-14,4.928444e-13,1.00667575e-13,3.46242e-13,-3.55364e-13,-3.635182e-13,1.412468e-13,7.5787724e-14,5.5567427e-13,2.8598673e-13,-2.9582662e-13,3.3933669e-13,-2.9260977e-14,-5.052426e-13,1.2311044e-13,1.366765e-13,-3.8276554e-13,1.4390105e-13,3.9497428e-13
input_data/stims/Shape_0.70_2.00.png,1,baseline,0.0,1,0.0,-0.26,0.26,0,2.0,-15.00686,-2.6864638,3.9785247,0.05978022,3.0969431,-2.1563008,-1.241063,0.4651055,-0.13859817,0.8461053,-0.30295104,0.27465817,1.4466991,-0.39483196,-0.26719335,-1.2104473,-0.76810193,-0.30642352,0.1384949,-3.5796314e-05,-1.274373e-06,-5.7359766e-06,-2.3453247e-06,-4.5959948e-07,1.6141236e-06,-4.0332e-06,3.847123e-06,1.9454733e-07,1.7663685e-06,8.612199e-08,-2.0771317e-06,2.3912446e-06,-2.916953e-06,3.1567307e-08,-1.5670489e-06,-2.6161802e-06,2.7134006e-06,1.0959351e-06,-9.375793e-07,-2.343653e-06,-5.870916e-08,2.6640138e-13,-1.3967485e-13,-1.3084056e-12,-1.3714161e-12,6.362417e-13,-7.796462e-14,-5.2729815e-13,4.397806e-13,-6.158748e-13,9.108859e-14,-2.954721e-13,1.883171e-14,-6.59223e-13,-7.8115486e-14,3.394815e-13,1.4359246e-14,-3.3341537e-13,-1.9414754e-13,3.914024e-13,-1.7753924e-13,3.32261e-13,-4.392362e-14,2.0191444e-14
input_data/stims/Shape_0.90_2.00.png,1,baseline,0.0,0,0.0,-0.22,-0.22,0,2.0,-13.753586,1.6907287,4.0232034,-2.213813,2.8214715,1.18963,0.37382117,1.4082423,1.1514736,0.6704425,-1.3328228,-1.4991505,-1.2290666,1.0142869,0.053531226,0.2950083,0.14817268,0.19095619,-0.2280992,-3.579707e-05,-2.9835714e-06,-2.2642054e-07,-4.1204207e-06,8.079897e-07,-1.6279834e-06,3.9619863e-06,-1.4317849e-06,2.2171987e-06,2.0951832e-06,1.9497418e-06,-2.0790361e-07,-3.0112276e-06,-1.087442e-06,-2.65735e-06,8.8310156e-07,1.0598161e-06,1.0918656e-06,1.8921584e-06,-5.8639466e-06,-1.1623785e-06,-1.2374892e-08,-5.276571e-14,6.020291e-14,-7.031379e-13,-5.4546444e-13,4.6695975e-13,4.1795997e-14,9.40124e-13,-2.0207658e-13,1.0650135e-14,-2.4604453e-13,-1.1656469e-13,2.889019e-13,-4.2417678e-13,-3.4986803e-13,1.7471285e-13,-1.1513052e-13,-3.4838452e-13,5.950514e-13,-7.6774436e-14,1.9881614e-13,6.981295e-14,-9.5075606e-14,1.640039e-14
input_data/stims/Shape_0.90_2.00.png,1,baseline,0.0,1,0.0,-0.22,0.22,0,2.0,-13.753586,1.6907287,4.0232034,-2.213813,2.8214715,1.18963,0.37382117,1.4082423,1.1514744,0.6704421,-1.3328227,-1.4991504,-1.2290674,1.0142865,0.05353077,0.29500824,0.14817266,0.19095603,-0.2280991,-3.57955e-05,1.7973141e-06,9.91052e-07,1.1098795e-06,-1.7362569e-06,-1.1364549e-06,-2.6399116e-06,3.2177797e-06,3.414117e-07,2.1533642e-06,4.145372e-06,3.7424613e-06,3.355744e-07,3.2045218e-06,-3.2740277e-06,3.3459976e-06,-9.46222e-08,9.197234e-07,-3.5040366e-06,6.769675e-07,-3.308046e-06,-8.718611e-08,-1.2910567e-12,4.1803833e-13,4.066975e-13,1.3078433e-12,-1.0503081e-12,1.3138764e-13,6.21796e-13,-1.1554415e-12,4.6598847e-13,6.7519375e-14,2.1394704e-13,-2.2304554e-13,-6.3040805e-13,2.9493528e-14,9.532115e-13,-9.216051e-13,6.297697e-13,-2.4916348e-13,-8.33755e-14,9.883078e-14,-3.4823784e-14,-1.1226871e-13,4.9164618e-14
